"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"Sdr42e1",2.2867952428859,3.34528302752264,3.04471052250455,3.03059523453038,2.98232481723284,2.91165221872645,2.8516854920175,3.27967927373479
"Sdsl",2.33092816112101,2.45785214921703,2.05237130155804,1.24487162394038,2.94571812442808,2.04967944728655,2.29969300016715,1.7474395095851
"Sec11a",6.41050199670789,6.02563320800179,6.22899559072579,6.18278493679803,6.49932011514859,6.14591089427994,6.0669261960737,6.01117704229128
"Sec11c",7.7490049315401,8.19502029123701,7.99377889331795,7.9265695689698,8.27171928377985,7.98994190001142,7.8510924917798,7.75267991383551
"Sec14l1",7.25713595698929,7.53339932935865,6.94281085557307,7.46148414755098,7.38449518456449,7.16219292785284,7.50608135209352,7.43555696279279
"Sec14l2",4.17529802429317,4.3091511413049,3.96706690362412,4.52378692800983,4.13786435261757,4.32032369109978,4.18855621302332,4.8939347410043
"Sec14l3",1.29538845667387,2.45785214921703,0.350627781762019,2.33679664529613,2.41376590881476,0.411683778104533,2.34384079714,2.3828890518558
"Sec16a",4.57453747286569,4.69273069363775,4.44591233160226,4.37189907960525,4.63982624905665,4.61541223999544,4.4226922232613,4.35761078597932
"Sec22c",4.49918001208094,4.77986459823062,4.90042640744788,4.7606689581452,4.37659201519264,4.95242368427301,4.35958194325804,4.75031467759202
"Sec23a",5.82963702969311,5.80450154661366,5.80367877457453,5.75146127364877,5.89674674062492,5.91652552016627,5.46737255097443,5.71615232099998
"Sec23b",5.08029412142513,5.53323320875693,5.3215287060609,5.38272298674826,5.16269576580078,5.53656261617482,5.25837225006008,5.48275548483871
"Sec23ip",5.4982498353073,5.99135666389645,5.96402399607248,6.11832364725142,5.80775871686246,6.27762713200525,6.02347642671789,6.15645859214341
"Sec24a",4.02220829027042,4.42721966100874,4.45493929490503,4.37189907960525,4.70698585651677,4.6191660338968,4.64187404641796,4.83455804525274
"Sec24b",5.29045282301039,5.19886542637845,4.95234591857514,4.90469758973873,5.32826115092934,5.14438789245551,4.92221913859155,5.00582433289086
"Sec24c",4.63739338676217,4.95483291741967,4.74719012095293,4.62004604986123,4.4826103460263,5.01074235124062,4.70247082389985,4.63323411527109
"Sec24d",2.83863076994471,3.12335718628176,2.46358349619165,2.55403939976427,3.18436971977126,2.88695429062646,2.72387701340399,2.79786375831403
