"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000000693","Loxl3",1.58625,1.575,2.39,0.68,0.572860928024545,0.361141640992621,8,1.785,1.3875,-0.363204903302377
"ENSMUSG00000000708","Kat2b",1.26,1.335,1.72,0.76,0.375993920923502,0.298407873748811,8,1.285,1.235,-0.0572118994235728
"ENSMUSG00000000711","RAB5B",67.75875,68.165,73.76,61.39,4.59044485083651,0.067746893955932,8,66.6425,68.875,0.0475371895901102
"ENSMUSG00000000732","Icoslg",0.98375,0.885,1.64,0.74,0.294760798905534,0.29962978287729,8,0.8025,1.165,0.537197859525403
"ENSMUSG00000000738","Spg7",8.3325,8.445,9.8,6.55,1.20721343834232,0.14488010061114,8,7.685,8.98,0.224643116084484
"ENSMUSG00000000740","Rpl13",590.4975,576.865,711.03,506.21,75.4971151293686,0.127853403493442,8,582.16,598.835,0.0407427599688256
"ENSMUSG00000000743","Chmp1a",89.60375,88.69,109.96,80.35,9.72780835322853,0.108564745931153,8,82.48,96.7275,0.229879202678738
"ENSMUSG00000000751","Rpa1",18.82,19.79,23,14.57,3.23052406186453,0.171653775869529,8,16.8825,20.7575,0.298088188916637
"ENSMUSG00000000753","Serpinf1",10.49625,8.45,21.34,3.99,6.37283282491277,0.607153299979781,8,14.9425,6.05,-1.30427259952515
"ENSMUSG00000000759","Tubgcp3",13.0175,13.225,16.14,9.92,2.39475468472243,0.183964254635869,8,14.205,11.83,-0.263928369666464
"ENSMUSG00000000766","Oprm1",1.3,1.025,3.48,0.36,0.956526453969182,0.735789579976294,8,1.645,0.955,-0.783881812440877
"ENSMUSG00000000776","Polr3d",6.645,6.71,7.37,5.54,0.689202437604511,0.103717447344546,8,6.3475,6.9425,0.129247305827916
"ENSMUSG00000000782","Tcf7",0.98625,0.7,3.89,0.03,1.25580864670652,1.27331675204717,6,1.7325,0.24,-2.84658278497287
"ENSMUSG00000000787","Ddx3x",17.7225,17.29,21.32,15.7,1.99951958515754,0.112823788131332,8,18.92,16.525,-0.19525076616672
"ENSMUSG00000000792","Slc5a5",8.40625,7.985,13.36,5.37,2.56714926662687,0.305385786364534,8,7.665,9.1475,0.255061218486527
"ENSMUSG00000000794","Kcnn3",11.28875,11.08,13.46,7.67,1.89183537112207,0.16758590376455,8,11.135,11.4425,0.0392972522836901
"ENSMUSG00000000804","USP32",7.10875,7.195,8.88,5.52,1.13248699141062,0.159308878693248,8,7.0525,7.165,0.0228287321857953
"ENSMUSG00000000805","Ca4",18.37125,19.09,22.33,12.84,3.0263671644871,0.164733873007395,8,17.3325,19.41,0.163311449014051
"ENSMUSG00000000811","-",1.99875,1.845,2.79,1.52,0.452341132332668,0.226312011173317,8,1.885,2.1125,0.164304436355696
"ENSMUSG00000000823","ZNF512B",7.80125,6.985,11.92,4.85,2.54189714021409,0.32583203207359,8,8.945,6.6575,-0.426045548958349
"ENSMUSG00000000826","Dnajc5",100.0925,99.98,117.91,86.07,9.72846155801185,0.097194710472931,8,96.45,103.735,0.105048545134983
"ENSMUSG00000000827","Tpd52l2",60.00625,60.95,68.45,51.58,5.80477866564634,0.096736234403022,8,57.495,62.5175,0.120821573145841
"ENSMUSG00000000838","FMR1",7.61625,7.82,10.1,3.95,1.80960877776701,0.237598395242674,8,6.3725,8.86,0.475383677616834
"ENSMUSG00000000861","BCL11A",47.62875,45.485,67.09,32.91,11.9889180227885,0.251715991345322,8,37.6775,57.58,0.611851312492419
"ENSMUSG00000000876","Pxmp4",11.24625,10.735,14.83,8.01,2.75407717238072,0.244888489263596,8,11.41,11.0825,-0.0420116929774474
"ENSMUSG00000000881","Dlg3",3.9925,4.07,4.72,3.14,0.564136508302733,0.141299062818468,8,3.8725,4.1125,0.0867287038352583
"ENSMUSG00000000884","Gnb1l",3.9725,3.935,4.61,3.29,0.439081834220977,0.11053035474411,8,4.21,3.735,-0.172668420459432
"ENSMUSG00000000901","Mmp11",0.735,0.69,1.33,0.38,0.349652889101667,0.475718216464854,8,0.9275,0.5425,-0.772621874908111
"ENSMUSG00000000902","SMARCB1",56.36375,55.39,66.28,47.2,7.90590003460345,0.140265685562147,8,52.36,60.3675,0.205303303980338
"ENSMUSG00000000915","Hip1r",11.73625,10.89,14.86,9.22,1.94486090211393,0.165713997410922,8,13.1175,10.355,-0.341135897907357
"ENSMUSG00000000916","Nsun5",6.2525,6.45,7.54,4.64,1.06400523629216,0.170172768699266,8,5.755,6.75,0.230034626853427
"ENSMUSG00000000934","Top1mt",10.6675,10.56,13.65,7.63,1.98164253659865,0.185764474956518,8,9.315,12.02,0.367774370941088
"ENSMUSG00000000948","Snurf",2.12125,2.165,3.12,1.2,0.691095145403294,0.325796179329779,8,2.0375,2.205,0.113924834102835
"ENSMUSG00000000957","Mmp14",4.96,5.32,7.77,1.59,1.84637869509867,0.37225376917312,8,5.58,4.34,-0.362496223797465
"ENSMUSG00000000958","Slc7a7",1.47,1.575,2,0.64,0.444682872553978,0.302505355478896,8,1.3375,1.6025,0.260607214800869
"ENSMUSG00000000959","Oxa1l",14.265,13.945,17.11,11.32,2.27279563533548,0.159326718214895,8,15.2425,13.2875,-0.198015929365348
"ENSMUSG00000000976","Heatr6",3.29875,3.33,4.16,2.26,0.593089670406472,0.179792245670776,8,3.29,3.3075,0.00765125309243817
"ENSMUSG00000000983","WFDC18",9.115,8.125,18.57,4.06,4.53097277477081,0.497089717473484,8,7.735,10.495,0.440179925141243
"ENSMUSG00000001014","Icam4",1.6225,1.665,2.34,0.61,0.661875042155671,0.407935311035853,8,1.43,1.815,0.343740530564247
"ENSMUSG00000001016","ILF2",42.82625,41.735,51.09,37.08,4.91007982914448,0.114651173734438,8,38.845,46.8075,0.269004483006086
"ENSMUSG00000001017","Chtop",72.35625,70.255,90.83,64.26,7.9712858570174,0.110167205417879,8,76.26,68.4525,-0.155821141261806
"ENSMUSG00000001018","Snapin",41.2325,42.045,49.65,31.93,6.7364101291839,0.163376223347697,8,46.68,35.785,-0.383440172050113
"ENSMUSG00000001020","S100a4",3.63375,3.765,4.88,1.97,0.927853706141221,0.255343297183687,8,4.3,2.9675,-0.534938018175982
"ENSMUSG00000001021","S100a3",0.905,0.94,2.06,0.32,0.583878656669591,0.645169786375238,8,1.1025,0.7075,-0.639246871361595
"ENSMUSG00000001023","S100a5",1.93375,1.8,3.68,0.38,1.17143303570578,0.605783082459356,8,1.0625,2.805,1.39969497565923
"ENSMUSG00000001025","S100a6",21.84,20.325,34.93,15.64,5.94877178199716,0.272379660347855,8,24.77,18.91,-0.389426457076847
"ENSMUSG00000001029","Icam2",2.3325,2.315,3.23,1.47,0.830537691584709,0.356071893498268,8,3.105,1.56,-0.992587292409393
"ENSMUSG00000001034","Mapk7",6.745,6.865,8.83,4.78,1.25097676123214,0.185467273718627,8,6.145,7.345,0.257311129138695
"ENSMUSG00000001036","Epn2",34.1,35.41,41.13,23.53,5.3621983764657,0.157249219251194,8,33.3825,34.8175,0.0607188342672538
"ENSMUSG00000001039","B9d1",19.42125,19.83,24.14,15.41,3.03521445464967,0.156283166873897,8,18.19,20.6525,0.183161432161868
"ENSMUSG00000001052","SEC24B",11.5925,11.725,13.84,7.47,2.09965813543879,0.181122116492455,8,11.615,11.57,-0.00559980664583254
"ENSMUSG00000001053","N4bp3",8.66875,9.005,15.18,4.2,3.70978026881069,0.427948697195177,8,5.9,11.4375,0.954866511703901
"ENSMUSG00000001054","Rmnd5b",53.89875,54.78,71.34,40.54,10.1989347307872,0.189223956599869,8,45.95,61.8475,0.428642347979752
"ENSMUSG00000001056","Nhp2",69.5225,64.6,84.97,60.85,10.2589887415866,0.147563576418952,8,67.48,71.565,0.0847929930673539
"ENSMUSG00000001062","Vps9d1",18.5175,20.15,21.19,13.99,2.98426707920052,0.16115928603756,8,19.0525,17.9825,-0.0833822058552066
"ENSMUSG00000001065","Znf276",4.57,4.645,5.28,3.81,0.529797805097109,0.115929497833065,8,4.7175,4.4225,-0.0931399800051036
"ENSMUSG00000001082","Mfsd10",17.0225,15.315,21.92,14.13,3.23728612089995,0.190176890638857,8,18.3125,15.7325,-0.219067897794211
"ENSMUSG00000001089","Luzp1",30.35625,29.075,41.57,20.38,7.76252892794242,0.255714356283876,8,31.64,29.0725,-0.122090436166837
"ENSMUSG00000001098","Kctd10",26.83875,26.64,32.49,20.44,4.35191398779237,0.16215039775669,8,25.2275,28.45,0.173424930314125
