"SYMBOL","ENSEMBL","ENTREZID"
"Nostrin","ENSMUSG00000034738","329416"
"Npepl1","ENSMUSG00000039263","228961"
"Npepps","ENSMUSG00000001441","19155"
"Nr4a1","ENSMUSG00000023034","15370"
"Nr4a3","ENSMUSG00000028341","18124"
"Nrdc","ENSMUSG00000053510","230598"
"Nrg1","ENSMUSG00000062991","211323"
"Nrsn1","ENSMUSG00000048978","22360"
"Nsd3","ENSMUSG00000054823","234135"
"Ntrk3","ENSMUSG00000059146","18213"
"Nudt3","ENSMUSG00000024213","56409"
"Numb","ENSMUSG00000021224","18222"
"Nup107","ENSMUSG00000052798","103468"
"Oat","ENSMUSG00000030934","18242"
"Otof","ENSMUSG00000062372","83762"
"Ovgp1","ENSMUSG00000074340","12659"
"Papola","ENSMUSG00000021111","18789"
"Parg","ENSMUSG00000021911","26430"
"Pbrm1","ENSMUSG00000042323","66923"
"Pcdh1","ENSMUSG00000051375","75599"
"Pcdhac2","ENSMUSG00000102697","353237"
"Pclo","ENSMUSG00000061601","26875"
"Pcnx1","ENSMUSG00000021140","54604"
"Pcnx3","ENSMUSG00000054874","104401"
"Pcsk4","ENSMUSG00000020131","18551"
"Pctp","ENSMUSG00000020553","18559"
"Pde4a","ENSMUSG00000032177","18577"
"Pde9a","ENSMUSG00000041119","18585"
"Pdik1l","ENSMUSG00000050890","230809"
"Pdpk1","ENSMUSG00000024122","18607"
"Pdpn","ENSMUSG00000028583","14726"
"Peg10","ENSMUSG00000092035","170676"
"Per1","ENSMUSG00000020893","18626"
"Phactr4","ENSMUSG00000066043","100169"
"Phf20","ENSMUSG00000038116","228829"
"Phf7","ENSMUSG00000021902","71838"
"Phkg1","ENSMUSG00000025537","18682"
"Phtf1","ENSMUSG00000058388","18685"
"Pi4ka","ENSMUSG00000041720","224020"
"Pik3ca","ENSMUSG00000027665","18706"
"Pik3cg","ENSMUSG00000020573","30955"
"Pik3r3","ENSMUSG00000028698","18710"
"Pikfyve","ENSMUSG00000025949","18711"
"Pink1","ENSMUSG00000028756","68943"
"Pitpnc1","ENSMUSG00000040430","71795"
"Pla2g7","ENSMUSG00000023913","27226"
"Plcd3","ENSMUSG00000020937","72469"
"Plcl1","ENSMUSG00000038349","227120"
"Plcl2","ENSMUSG00000038910","224860"
"Pld2","ENSMUSG00000020828","18806"
"Plekhf1","ENSMUSG00000074170","72287"
"Plekhh2","ENSMUSG00000040852","213556"
"Plekhh3","ENSMUSG00000035172","217198"
"Plk3","ENSMUSG00000028680","12795"
"Plp2","ENSMUSG00000031146","18824"
"Plppr3","ENSMUSG00000035835","216152"
"Plxna2","ENSMUSG00000026640","18845"
"Plxna4","ENSMUSG00000029765","243743"
"Pmch","ENSMUSG00000035383","110312"
"Poc1a","ENSMUSG00000023345","70235"
"Poglut3","ENSMUSG00000034487","68304"
"Polr3a","ENSMUSG00000025280","218832"
"Ppip5k1","ENSMUSG00000033526","327655"
"Ppm1h","ENSMUSG00000034613","319468"
"Ppm1m","ENSMUSG00000020253","67905"
"Ppp1r10","ENSMUSG00000039220","52040"
"Ppp1r14c","ENSMUSG00000040653","76142"
"Ppp1r3c","ENSMUSG00000067279","53412"
"Ppp1r3d","ENSMUSG00000049999","228966"
"Ppp2r5b","ENSMUSG00000024777","225849"
"Ppp2r5e","ENSMUSG00000021051","26932"
"Ppp6r3","ENSMUSG00000024908","52036"
"Prkca","ENSMUSG00000050965","18750"
"Prkd2","ENSMUSG00000041187","101540"
"Prpf8","ENSMUSG00000020850","192159"
"Prr3","ENSMUSG00000038500","75210"
"Prrc2a","ENSMUSG00000024393","53761"
"Prrc2b","ENSMUSG00000039262","227723"
"Pskh1","ENSMUSG00000048310","244631"
"Psme1","ENSMUSG00000022216","19186"
"Psme4","ENSMUSG00000040850","103554"
"Pten","ENSMUSG00000013663","19211"
"Ptprf","ENSMUSG00000033295","19268"
"Ptprj","ENSMUSG00000025314","19271"
"Ptprn","ENSMUSG00000026204","19275"
"Pvr","ENSMUSG00000040511","52118"
"Pxk","ENSMUSG00000033885","218699"
"Pxylp1","ENSMUSG00000043587","235534"
"Rab11b","ENSMUSG00000077450","19326"
"Rab11fip3","ENSMUSG00000037098","215445"
"Rab22a","ENSMUSG00000027519","19334"
"Rab39b","ENSMUSG00000031202","67790"
"Rab3gap1","ENSMUSG00000036104","226407"
"Rab3gap2","ENSMUSG00000039318","98732"
"Rabep1","ENSMUSG00000020817","54189"
"Rabgap1l","ENSMUSG00000026721","29809"
"Rabggtb","ENSMUSG00000038975","19352"
"Rad51d","ENSMUSG00000018841","19364"
"Ralgapa1","ENSMUSG00000021027","56784"
"Ralgapa2","ENSMUSG00000037110","241694"
"Ralgapb","ENSMUSG00000027652","228850"
"Ralgps2","ENSMUSG00000026594","78255"
"Ranbp2","ENSMUSG00000003226","19386"
"Rapgef3","ENSMUSG00000022469","223864"
"Rapgef5","ENSMUSG00000041992","217944"
"Rarres1","ENSMUSG00000049404","109222"
"Raver1","ENSMUSG00000010205","71766"
"Rbm12b1","ENSMUSG00000046667","72397"
"Rbm12b2","ENSMUSG00000052137","77604"
"Rbm28","ENSMUSG00000029701","68272"
"Rbm3","ENSMUSG00000031167","19652"
"Rbm39","ENSMUSG00000027620","170791"
"Rbm6","ENSMUSG00000032582","19654"
"Rbmxl1","ENSMUSG00000037070","19656"
"Rcan2","ENSMUSG00000039601","53901"
