"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
6.58317990681373e-47,1.04673872196522,0.473,0.441,1.61116745039359e-42,"8","Picalm",TRUE
1.7057150904186e-45,0.49939523645066,0.801,0.85,4.17456711229047e-41,"8","Rps27a",TRUE
2.07999066645462e-45,0.31668316172778,0.21,0.404,5.09056915708104e-41,"8","Nsd1",TRUE
3.36737982666885e-45,0.277890043061842,0.124,0.267,8.24132538778935e-41,"8","Ubn1",TRUE
1.01121370113065e-44,0.382273068483213,0.808,0.756,2.47484441214715e-40,"8","H3f3b",TRUE
1.15899457311426e-44,0.464586383534882,0.819,0.856,2.83652331823985e-40,"8","Rps14",TRUE
1.25924738323178e-44,0.574518109780465,0.142,0.298,3.08188204572147e-40,"8","Cdk12",TRUE
1.61018491287071e-44,0.507067079383599,0.748,0.802,3.94076655575978e-40,"8","Rps7",TRUE
2.00641234714409e-44,0.277698925178286,0.133,0.28,4.91049357840044e-40,"8","Sbf2",TRUE
2.06091356836048e-44,0.567582745553168,0.735,0.787,5.04387986720543e-40,"8","Rps15a",TRUE
3.30659693823138e-44,0.552197086904802,0.753,0.809,8.09256534662747e-40,"8","Rpl34",TRUE
2.2425396819949e-43,0.529863035804853,0.684,0.726,5.48839161771431e-39,"8","Rpl18",TRUE
3.17151949547257e-43,1.30985043593132,0.316,0.244,7.76197681321957e-39,"8","Fam102b",TRUE
3.4797952715976e-43,0.268000296254447,0.164,0.327,8.51645094770798e-39,"8","Kat6a",TRUE
1.34130031758885e-42,0.419754575945478,0.12,0.257,3.28269839726694e-38,"8","Tsc22d2",TRUE
3.1203024724755e-42,1.53643223175097,0.324,0.265,7.63662827113655e-38,"8","Cttnbp2nl",TRUE
4.05057347512673e-42,0.277760964848897,0.187,0.357,9.91337352302517e-38,"8","Sppl2a",TRUE
5.13205019674414e-42,0.262359001380513,0.174,0.34,1.25601796515116e-37,"8","Fuca1",TRUE
8.65181856246974e-42,0.309847236874465,0.122,0.259,2.11744607497884e-37,"8","Gtf2b",TRUE
1.15056564363506e-41,0.356137346855164,0.141,0.286,2.81589435623245e-37,"8","Larp4b",TRUE
1.41674313999488e-41,0.385359451404536,0.196,0.374,3.46733716082347e-37,"8","Irf2bp2",TRUE
1.47948385722215e-41,1.33215451919896,0.528,0.572,3.62088879216549e-37,"8","Fus",TRUE
2.8787975452041e-41,0.353675023849009,0.171,0.335,7.04556911213252e-37,"8","Yme1l1",TRUE
5.75773408661005e-41,0.359330450784016,0.19,0.365,1.40914784035694e-36,"8","G3bp1",TRUE
