Contrast,Method,TF,Activity_Score,P_value
Control_DLPFC_vs_NAC_full,DoRothEA,FOXM1,0.14073719471106663,0.8880775603890798
Control_DLPFC_vs_NAC_full,DoRothEA,E2F6,-0.13783804756342422,0.890368413738816
Control_DLPFC_vs_NAC_full,DoRothEA,RUNX3,-0.12546588620021648,0.9001547304607301
Control_DLPFC_vs_NAC_full,DoRothEA,IRF4,0.11653432450113634,0.9072290843856328
Control_DLPFC_vs_NAC_full,DoRothEA,LEF1,0.11142371015618993,0.9112803591413084
Control_DLPFC_vs_NAC_full,DoRothEA,SOX11,-0.11067039781682332,0.9118777208666583
Control_DLPFC_vs_NAC_full,DoRothEA,KLF1,-0.1033123377562666,0.917715083904096
Control_DLPFC_vs_NAC_full,DoRothEA,YY1,-0.08450717293682294,0.932653200064867
Control_DLPFC_vs_NAC_full,DoRothEA,GFI1B,-0.08184628270590415,0.9347689512303692
Control_DLPFC_vs_NAC_full,DoRothEA,MAX,0.08100462422023443,0.9354382749967575
Control_DLPFC_vs_NAC_full,DoRothEA,RFX2,0.07844881249995178,0.9374710463772048
Control_DLPFC_vs_NAC_full,DoRothEA,LHX2,-0.07763639346102401,0.9381172919407794
Control_DLPFC_vs_NAC_full,DoRothEA,NR5A2,0.07473508522019605,0.9404254917515323
Control_DLPFC_vs_NAC_full,DoRothEA,PAX6,-0.06996244807680833,0.9442235484606832
Control_DLPFC_vs_NAC_full,DoRothEA,GATA6,0.06441018832071264,0.9486436177670716
Control_DLPFC_vs_NAC_full,DoRothEA,CTCFL,-0.05896163992305781,0.952982661836109
Control_DLPFC_vs_NAC_full,DoRothEA,NFATC1,-0.05802255009367779,0.953730666406213
Control_DLPFC_vs_NAC_full,DoRothEA,CEBPD,-0.05508787520626075,0.9560684556609456
Control_DLPFC_vs_NAC_full,DoRothEA,ATF7,-0.044967198067726345,0.964133454644443
Control_DLPFC_vs_NAC_full,DoRothEA,XBP1,-0.029914548731716194,0.9761352028324993
Control_DLPFC_vs_NAC_full,DoRothEA,NFKB2,0.017012549474093003,0.9864266041887265
Control_DLPFC_vs_NAC_full,DoRothEA,KLF6,0.01622429155553695,0.9870554561539777
Control_DLPFC_vs_NAC_full,DoRothEA,MBD1,-0.013488957557141993,0.9892376953952524
Control_DLPFC_vs_NAC_full,DoRothEA,ZEB2,0.013345897540059907,0.9893518304998699
Control_DLPFC_vs_NAC_full,DoRothEA,BHLHE22,-0.01270122590852616,0.9898661604121419
Control_DLPFC_vs_NAC_full,DoRothEA,ETV1,0.005924983240641803,0.995272575009004
Control_DLPFC_vs_NAC_full,DoRothEA,TAL1,0.0017960122420139298,0.9985669903314845
Control_DLPFC_vs_NAC_full,Enrichment,ZBTB11,4.077019087242101,8.105823308974669e-4
Control_DLPFC_vs_NAC_full,Enrichment,NCOA2,3.989932603701028,9.769049323227594e-4
Control_DLPFC_vs_NAC_full,Enrichment,FOXP1,3.784879956311948,1.7517552792647631e-4
Control_DLPFC_vs_NAC_full,Enrichment,STAT2,-3.643417895325518,0.002102033649559906
Control_DLPFC_vs_NAC_full,Enrichment,MEF2A,3.6247910041355422,4.5632798401640685e-4
Control_DLPFC_vs_NAC_full,Enrichment,SPI1,-3.5988833840985976,0.0023386840759259376
Control_DLPFC_vs_NAC_full,Enrichment,HOXB13,3.475477295992927,0.0029317423025834745
Control_DLPFC_vs_NAC_full,Enrichment,TBX21,-3.347027553876261,0.0034340764794152183
Control_DLPFC_vs_NAC_full,Enrichment,ARNT,3.208095151129018,0.003543674047045646
Control_DLPFC_vs_NAC_full,Enrichment,SPIB,-3.095826339551666,0.002897333745664071
Control_DLPFC_vs_NAC_full,Enrichment,GABPA,3.024459526749335,0.007448221461135114
Control_DLPFC_vs_NAC_full,Enrichment,SOX13,-2.9485355653731644,0.007623713309552381
Control_DLPFC_vs_NAC_full,Enrichment,FOSB,-2.897737307035567,0.00126550158363034
Control_DLPFC_vs_NAC_full,Enrichment,MAFF,2.8754380536532738,0.002053445502312701
Control_DLPFC_vs_NAC_full,Enrichment,NANOG,2.8628831833482695,0.006827711339486307
Control_DLPFC_vs_NAC_full,Enrichment,THAP11,2.7895436373257034,0.01121085485564812
Control_DLPFC_vs_NAC_full,Enrichment,ZBTB7A,-2.628216450187916,0.016434689591027712
Control_DLPFC_vs_NAC_full,Enrichment,NFYB,2.609685876252579,0.011792448500175981
Control_DLPFC_vs_NAC_full,Enrichment,MEIS2,2.451829713212761,0.009466926743199877
Control_DLPFC_vs_NAC_full,Enrichment,RUNX3,-2.4499460657167944,0.022721365563578663
Control_DLPFC_vs_NAC_full,Enrichment,SOX10,-2.4273102130711415,0.02291979753428482
Control_DLPFC_vs_NAC_full,Enrichment,LYL1,-2.2621847445346277,0.01599676624732159
Control_DLPFC_vs_NAC_full,Enrichment,TP73,-2.1062033659899217,0.007997278295795943
