gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
MACORIS,-2.250794092363482,2.5976080649608915,6.153705256886932e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
MPEG1,-3.48897505212482,1.1353862071927643,6.227099714029145e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
CDH19,1.0431325339726336,8.40238755475073,6.3728743531404915e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
RGS1,3.0665862728106617,4.5797180599115075,6.4146753823629846e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
LINC01010,1.310052157914841,4.937360066025652,6.486838381580786e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
LGI1,-1.9616779660613137,3.737316477252106,6.527314149181932e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
PGK1,1.4321288866155852,5.418778748080124,6.529091566458296e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
AL137139.2,-2.3782785097792183,3.839495867763551,6.5738173304829515e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
XACT,-2.57903491595064,5.627812163518549,6.66002164912901e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
CLCA4,-1.261877363879358,5.019986849704666,6.687924502321525e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
BCL2A1,5.400106155202476,2.7406877701605095,6.723212610748241e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
NPTX2,3.268893465764293,2.8647216353097136,6.772629928503115e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
C12orf75,-1.8061595511515018,4.139096208801082,6.820560880413222e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
ABCC4,-1.3704270745948683,6.292345413150404,6.8612379118192296e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
RANBP17,-1.1090973327723566,5.755907051947487,6.865566281239258e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC01268,-2.658559549375844,3.996342260149813,6.967900242298083e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
CNDP1,1.016206551092399,9.62454599823871,7.007174014251613e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Up
GPR34,-2.4079629258305073,4.195708093668687,7.023056116070764e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC01141,-2.997658742681479,4.710875141084878,7.068690491906271e-06,0.0015187425270391669,OUD_vs_Control_Female,True,True,True,True,True,Down
