gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
LINC02315,-0.9398179627769683,2.5769718937649184,0.01222098730228245,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
SLFN13,-1.7162979550451247,-1.115279599792451,0.012303108795650063,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC105430.1,1.5965668248187754,1.2303624956596333,0.012340817471677541,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AC245187.1,-1.67553097279647,-1.8916037349790886,0.012472743330644017,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AFF3,-0.7306596593049756,5.432498533278555,0.012476219344049327,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
TRIM63,2.4243262174061773,0.6694107109530344,0.012489172108922109,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
PTGDR,-1.721333232532822,-1.078249125169681,0.012690880209482388,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
HOTAIRM1,-1.7184306434814876,-1.1639296445457548,0.012701163129509014,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
CDH6,-0.9621423212448847,3.2640476726323153,0.012716780256291407,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC245519.1,-1.9800590529464748,-0.2871817823629808,0.012737309807618422,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
SGPP2,-1.0938090029522305,1.950382880324091,0.012859609654588752,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
UBASH3A,-2.106686175814427,-3.1515328688628825,0.012860597449760168,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC010280.1,-1.1795297374621703,1.6024066653685252,0.012991587680170459,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
DRD2,-1.0597635804381802,1.7736739918259299,0.013091244896924283,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
TMPRSS5,1.229577765046929,4.776947698535581,0.01309135756242126,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AC084880.4,-6.1922225176783305,-4.2200837445520865,0.013248697337955676,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AL732437.3,-3.90320516596948,-4.295051529725495,0.013257970628227356,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
SRARP,-1.4615630475732357,-0.2564206177306021,0.013398994462527507,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC119673.2,2.5537712743605483,4.734936134862166,0.013406304363682857,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
LINC01924,1.2020402358684625,1.6006443427953885,0.013422706663751111,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AC105940.2,1.6401848411233146,1.4173430228322144,0.013654787430120344,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
HTR3A,2.609140704834095,-2.976571212511781,0.013670750032312617,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
RPL7,0.6653464034321985,4.573381616334063,0.013801392208315933,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AL592295.3,1.0254416885145063,2.5697066343242856,0.013941136171895786,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
AL035467.2,1.5545803351940573,-1.5070435961572848,0.014007787511138261,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
ZNF366,-1.1633434573586527,0.7880995137684925,0.014102026909218052,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
COL18A1,-0.8412638099813137,3.8800377911411026,0.014123675555148462,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
AC117461.1,1.8539239074375673,-0.31352138011235836,0.01415407879699887,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Up
FNDC1,-2.47690282141087,-0.3903773957974024,0.014162956502315855,0.9998769263150931,OUD_vs_Control_Caudate,False,False,False,False,False,Down
