gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
HRH3,1.7381743302732753,-0.9145435592122169,0.02926911629089128,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC138305.1,3.2807379731474486,2.1985194599558717,0.029710731041661644,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
FKBP2,3.391084501670948,-3.64647752813667,0.029740798321622026,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LEF1-AS1,1.328133369670713,-0.6246165393781207,0.030120354062297707,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CCDC68,1.4542661424853491,-0.04356771086894328,0.030815722761937173,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
DCLK1,1.3161350811993475,5.066686334981828,0.031079240148944816,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
PRMT8,1.9929852161762915,1.1942848237430508,0.0312940930474034,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC025257.1,-2.1208622846312566,-2.7010535215799987,0.031469392647829275,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
AC007365.1,-2.09092245161704,-1.0914413967196088,0.03191311293769038,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
PLA1A,2.045468425374367,-1.9076281073336108,0.0319957500133331,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LINC02137,2.028763983836947,1.4947451073024276,0.032317186906074664,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
IGFBP3,3.691901774002736,-1.850928585517752,0.032332056541563604,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CAMSAP3,-1.3309583276858716,-0.020301925121082233,0.03234531011755803,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
ZBBX,1.9370397688449177,1.0047647717593413,0.03295250838842158,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SYBU,0.9156497563668616,3.0071545123666046,0.03336671350679697,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC023796.1,1.8963543363340563,-3.0822878681703623,0.03387197436182687,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CA6,-1.1973391853865807,-1.0983587433051942,0.03395119656510822,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
FRAS1,1.715230235007113,3.041033488623419,0.03402501967834469,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TCTEX1D1,1.1595880420467841,0.4730103612776884,0.034109288790228655,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
C8orf34-AS1,2.582081257488858,-1.5313389113511215,0.034392108516506405,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
OBSCN,1.400776362527626,1.5406616024103903,0.034434527539289224,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CCN2,1.7309378823776258,-0.3631611722500466,0.03443452998291333,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC009154.1,2.6024097936113164,-2.5621195108410313,0.0345373612895847,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
COL1A2,1.2381774532427279,0.07943072277183405,0.03471490675799461,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
BX664727.3,0.5549245519242797,3.7006089859515074,0.035080790401656785,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC013468.1,1.1078007436299382,-0.656529952516062,0.03516265330056182,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
EMCN,1.4207619377870369,1.7269169397054815,0.03521476655368275,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
COL21A1,1.186046265690701,2.6683715709078175,0.03523151797087114,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CLDN5,2.0010955995578783,1.6254892392156197,0.035308202889314313,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CCDC122,-0.47157576500610177,6.5063222484039285,0.03549874461277542,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
LMNTD1,1.0849731343344216,2.701898786455948,0.035593123213336846,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC092422.1,2.3942058709354965,2.329567844827017,0.035639857868828013,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LINC01260,-1.1001089073846022,0.4063348347558812,0.03567692793711986,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
COL25A1,1.2274770077362112,3.6851961205239805,0.035843627019022245,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
BGLAP,-1.1671647613676195,-0.07367641195081659,0.03594313914322455,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
RAD21-AS1,1.717030547918904,-2.1479239084473196,0.0359852790198502,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AL591115.1,1.5025783938682182,2.098818383873714,0.03658913693410712,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TMEM204,1.1702710647630234,-0.12179080546129094,0.036610841226201576,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC011995.2,2.439460724735471,0.4334241830672641,0.03687290942848219,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
FER1L6-AS2,1.37659474165438,-0.8740474544548206,0.037229637180493,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TMEM211,-1.2805970580797066,-1.0997400155747399,0.03756750121082452,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
AC008060.3,-2.019618304843992,-2.333978750784321,0.03761342296036709,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
HJV,-1.1598380137049098,-0.9038367913437843,0.03781021865389989,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
CACTIN-AS1,-1.949739649975134,-3.1881967483905944,0.03782215117568047,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
CFAP299,1.0177015930237938,1.3199076793767341,0.03795733920580136,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC005482.1,1.370846471190888,-1.937116659799898,0.03889994596655294,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
MRTFB,0.4766701345727815,5.784417939729605,0.03902924748449517,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
ABCB1,1.8249926896427473,3.705943190175987,0.039369036900811887,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
DNAI1,1.4413869122952523,0.5028736384858815,0.03977417036869414,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
MME,1.5466628946185117,2.1288067874174725,0.039866941975920445,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
RYR2,0.8582219395937868,6.757993834380409,0.04025872440420665,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC008581.1,-1.3196914399122055,-1.4236456218013596,0.04066987576809858,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Down
KRTAP10-4,1.7975802092603232,-3.0114099602972324,0.041288046964488956,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AP000679.1,1.8474387999317938,-2.506067132204904,0.04152891167121933,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
