gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
CSGALNACT1,1.1948084,1.6629877,0.46817935,0.46817935,-3.4473230498525678,0.0005778938632457033,0.001331552680289639,False
GLI3,0.37609336,0.623136,0.24704263,0.24704263,-3.426742317023142,0.0006232357622734663,0.0014327258902838307,False
AC008571.2,7.219584,6.216001,-1.003583,1.003583,3.422446640067971,0.0006331082226011898,0.0014520830793605271,True
KCTD8,2.8992443,3.150201,0.25095677,0.25095677,-3.3993332847035824,0.0006887740406428523,0.0015761419694344447,False
CPE,0.8814991,1.2834135,0.40191442,0.40191442,-3.3862800038035856,0.0007221898057005733,0.0016488351728323593,False
JAM3,4.124861,3.8228579,-0.3020029,0.3020029,3.365562158617133,0.0007783351365433943,0.0017729729761808528,False
MT2A,0.52397853,0.32331368,-0.20066485,0.20066485,3.358003657995182,0.0007998091860467102,0.0018177481501061596,False
LINC01170,4.657205,4.1991243,-0.45808077,0.45808077,3.351814014805941,0.0008178026603359278,0.0018530597293904983,False
NEBL,1.2407,1.8983961,0.6576961,0.6576961,-3.3513888226448696,0.0008190524003906002,0.0018530597293904983,False
FAT3,0.47081652,0.7581595,0.287343,0.287343,-3.3254293073480006,0.0008988006367169365,0.002028895342476155,False
NCK2,0.8942653,0.5134354,-0.38082987,0.38082987,3.319433764650107,0.0009182153282761991,0.002063787957765398,False
NBEA,2.3231537,2.5826333,0.25947952,0.25947952,-3.3193816916315995,0.0009183856412056021,0.002063787957765398,False
C1orf21,0.5217909,0.7514063,0.22961539,0.22961539,-3.3105744630366765,0.0009476162441276052,0.002124700098940819,False
LMCD1-AS1,6.9916515,6.510326,-0.48132563,0.48132563,3.3066532919513083,0.000960905826245284,0.002149677463635982,False
RBM47,0.6035804,0.34862664,-0.25495377,0.25495377,3.303009618355265,0.000973409558389638,0.002172789192834013,False
