"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"MAX",-0.988045724437247,-0.0430257895712586,0.365074413331414,0.958951972487278,-0.474254195673933,0.2924273306831,0.485000932250879
"KLF6",1.27950483533347,0.0369851393119093,-1.32575943761588,-0.847259482469045,-0.253651053588166,-1.77197004354193,-1.60471516919073
"NR2C2",-2.97691463629692,1.38797383608776,-0.694534298832264,1.69548167256664,-2.44372110364199,0.709906389265364,0.045137449449668
"MYOD1",0.0820504149734637,-0.396148207350156,-0.447567395700209,0.812857982385912,-0.0532546664131018,-0.0504233091420234,0.344081057009226
"IRF4",-0.522273830261665,-1.56920169984801,-0.015358619155849,-0.146864994527297,-1.01072797741851,-1.21982961873684,-0.653404614296595
"EHF",-1.37806784521443,-0.132058298398404,-0.193876109964011,0.735905389983083,-1.39787442713669,-0.445954421441215,-0.1292966741505
"HNF1B",0.779344518939476,-0.274406490093887,0.392184686385572,-0.424049174534864,0.759857419927083,0.110265593380261,0.268108411834073
"E2F6",1.12740808024808,-0.202504240335148,-0.800683295708781,-0.96238114834496,0.611839952145958,-0.47002168179132,-0.497918515164663
"POU2F2",-0.665900558557376,-0.233846177449298,-0.983826026439821,-0.357885475728267,-1.77494054050531,-0.992354588889828,-1.41361074213508
"STAT2",-2.21658448860293,0.368151772511745,-1.28803129902581,0.395043349480758,-2.90814322564299,-0.800650827603831,-1.1130854664517
"RFX5",-1.57806677411671,0.89726126231777,0.325885738921569,1.21429522385867,-2.3223739902213,-0.468350860094525,-0.52696253144323
"TBP",-0.697232530035378,0.580170809320714,0.515066960646505,1.96479267492041,0.00176517788841022,0.861818459208857,1.01742998747722
"GLI1",1.28733899700447,-1.04778009070983,-0.326641262202455,-1.39201612516713,0.201772205960128,-1.57500305310782,-1.12112377785222
"ZNF143",0.455673447493465,-0.856711821692708,0.390224827398076,-0.220283840429638,0.423137273263728,-0.484355717762148,-0.181449588114807
"MYBL2",-0.679189457999885,0.107442736500462,1.33085939137245,1.0985900815804,0.438659960466346,1.23417104268972,1.53924359063415
"GATA6",0.984082571645013,-0.21957335563393,1.42614706729742,0.266520005664846,1.48683165818115,0.480017942254354,0.803940965686978
"TFAP4",1.29972471644312,-1.19483398458006,0.0262630825788327,-1.23551770153289,0.432941674972407,-1.13414398653659,-0.618305031996146
"GLI2",0.369477244365645,0.801693748898768,-0.573320731207261,0.200013967618655,0.896896381153666,0.815248912843012,0.523338873700578
"IRF9",-0.251437680624618,-1.20023261127544,1.89426602441512,0.840764071664041,0.651318951971067,0.646336909619033,0.933353640736705
"NRF1",-1.84775956969577,0.249403596917531,-0.0220288106659823,1.23970882156881,-1.2959505886685,0.323436338271561,0.180215275023005
"HHEX",0.401992612736773,0.330046933058771,-0.995662014452869,-0.858931694910474,-0.282182740030735,-0.856084717392576,-1.20527829007748
"PROX1",0.868426036343601,-0.757736922406578,0.607909691000848,-0.203132400805985,-0.184631800763422,-1.11184191775472,-1.20334684991707
"FOXL2",-2.33387813427989,0.68800935260481,1.91488717833307,1.90772345139586,-0.393568121036888,2.95229285592062,3.10868712376384
"POU5F1",0.857352894876426,-0.40711558358815,-0.789520108231732,-1.34846347625274,-0.240611837307976,-0.577896244608157,-0.42838531362409
"RELB",0.0229929326806133,-0.600283564662672,0.713231005107234,-0.700826770542175,-0.0712503602722101,0.653692368038573,0.661690261541881
