"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TFDP1","OUD_Effect_Male_vs_Female_results",-3.51340210708827,0.000443150312985013
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF1","OUD_Effect_Male_vs_Female_results",-3.51102294652618,0.000447133565036416
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ELK4","OUD_Effect_Male_vs_Female_results",-3.4564257073567,0.000548254907962749
"OUD_Effect_Male_vs_Female_results_ulm","ulm","STAT6","OUD_Effect_Male_vs_Female_results",-3.45594932175786,0.000549224325642071
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NR2C2","OUD_Effect_Male_vs_Female_results",-3.41382106086917,0.000641552740692908
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXP2","OUD_Effect_Male_vs_Female_results",-3.40521912670118,0.000662097880231342
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFE2","OUD_Effect_Male_vs_Female_results",-3.40404799289857,0.000664941903258211
"OUD_Effect_Male_vs_Female_results_ulm","ulm","PRDM14","OUD_Effect_Male_vs_Female_results",-3.35345498240319,0.000799220768984362
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZKSCAN1","OUD_Effect_Male_vs_Female_results",-3.30993542731993,0.000934430215463057
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TP73","OUD_Effect_Male_vs_Female_results",-3.30837782011887,0.000939641254892041
"OUD_Effect_Male_vs_Female_results_ulm","ulm","JUND","OUD_Effect_Male_vs_Female_results",-3.29467445427168,0.00098666056033354
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ETS2","OUD_Effect_Male_vs_Female_results",-3.29227227676621,0.000995124048579714
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ARID3A","OUD_Effect_Male_vs_Female_results",-3.28190047085311,0.0010324439089577
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SNAI2","OUD_Effect_Male_vs_Female_results",-3.2559021312303,0.00113175768273185
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZBTB33","OUD_Effect_Male_vs_Female_results",-3.23469625346296,0.00121922648967933
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NRF1","OUD_Effect_Male_vs_Female_results",-3.22206571673383,0.00127424926455593
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TCF12","OUD_Effect_Male_vs_Female_results",-3.21209512747376,0.00131929377974455
"OUD_Effect_Male_vs_Female_results_ulm","ulm","USF2","OUD_Effect_Male_vs_Female_results",-3.18525097468252,0.00144797337424514
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ZFX","OUD_Effect_Male_vs_Female_results",-3.12226990852072,0.00179656966170925
