gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
CTLA4,-3.042067922231271,0.005337050743991194,-13.633441922119825,OUD_vs_Control_Female,5.36543333530426,44.19351005554199,2,2,0.9999722821216691,True,False,True,Down
MIR3142HG,-2.5678727157646635,0.005388414151914761,-13.567782063208583,OUD_vs_Control_Female,51.08284950256348,302.88783264160156,2,2,0.9999722821216691,True,False,True,Down
LINC02183,0.2893990051485791,0.005392823534314324,13.562189021167669,OUD_vs_Control_Female,13.816221714019775,11.30502462387085,2,2,0.9999722821216691,False,False,False,Up
AC116667.1,-2.364521367372933,0.005620559587563811,-13.282305398936536,OUD_vs_Control_Female,108.67108154296875,559.6362609863281,2,2,0.9999722821216691,True,False,True,Down
AP003120.1,-1.8104799434696115,0.005679639046069791,-13.212454380654972,OUD_vs_Control_Female,14.082767486572266,49.396568298339844,2,2,0.9999722821216691,True,False,True,Down
STC2,2.968355332381947,0.005680718118836023,13.211188681358575,OUD_vs_Control_Female,144.0232391357422,18.402150630950928,2,2,0.9999722821216691,True,False,True,Up
DHRS9,-1.782315334112904,0.005702940042887509,-13.185203155534044,OUD_vs_Control_Female,351.8760070800781,1210.375244140625,2,2,0.9999722821216691,True,False,True,Down
AC087897.2,-0.6916425990096051,0.0057364387035267,-13.146315944856218,OUD_vs_Control_Female,20.431339263916016,32.9990930557251,2,2,0.9999722821216691,True,False,True,Down
DCAF4L2,-1.2433241920746732,0.005883737651533263,-12.979270648354884,OUD_vs_Control_Female,6.665111541748047,15.779211521148682,2,2,0.9999722821216691,True,False,True,Down
SLC7A11-AS1,-1.634192252127545,0.006191761485597829,-12.649366857285637,OUD_vs_Control_Female,96.91155624389648,300.8267517089844,2,2,0.9999722821216691,True,False,True,Down
FOXE3,1.690235051737758,0.006296353844524118,12.542872750513906,OUD_vs_Control_Female,4.232215404510498,1.3114638179540634,2,2,0.9999722821216691,True,False,True,Up
AC015936.2,-2.493277709112669,0.00632930252567623,-12.509871271853815,OUD_vs_Control_Female,1.2413775138556957,6.989647150039673,2,2,0.9999722821216691,True,False,True,Down
LINC02833,1.6435355358872838,0.006338874273635053,12.500332298151923,OUD_vs_Control_Female,24.98187255859375,7.995976209640503,2,2,0.9999722821216691,True,False,True,Up
AC079015.1,-3.4937943216094274,0.006366326947557737,-12.473092677315636,OUD_vs_Control_Female,253.6169891357422,2857.0328369140625,2,2,0.9999722821216691,True,False,True,Down
LINC01220,1.4431959603200504,0.006377558480317423,12.461998879759852,OUD_vs_Control_Female,41.50224304199219,15.262521743774414,2,2,0.9999722821216691,True,False,True,Up
RGS16,3.937752740204423,0.00648393295407435,12.358357801529355,OUD_vs_Control_Female,2418.37939453125,157.81298828125,2,2,0.9999722821216691,True,False,True,Up
AP005436.1,-0.8847310424462492,0.006502042478306077,-12.34096662189002,OUD_vs_Control_Female,16.063557624816895,29.660079956054688,2,2,0.9999722821216691,True,False,True,Down
