gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC246817.2,-1.5714398702434675,1.8786841988273828,0.00128799658027337,0.01755881052291051,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TECR,0.5191714393195801,5.339476777314467,0.00128933314537983,0.01756828665953382,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL390957.1,0.824628775890018,3.7619198998732113,0.0012912212176043,0.0175845745571547,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
PTPRN,-1.0501501421711634,1.4746651426752535,0.00129181261899354,0.0175845745571547,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HELZ2,1.4997361837238967,0.7481061859757467,0.00129339236376313,0.01759100250067351,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
MED29,0.7036677302060171,4.219929423726576,0.00129427878537096,0.01759100250067351,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL354863.1,-1.810109935696604,-1.1199618571669114,0.00129485398865772,0.01759100250067351,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CHST3,0.8383560224771154,5.794515184214381,0.00129561975297618,0.0175926791246959,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
SLC39A14,1.4044631457935983,4.694717727788329,0.00130328684585749,0.01766852992324146,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC012368.1,-0.8083530543482006,4.261505577009448,0.0013036370944149,0.01766852992324146,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LANCL1-AS1,-0.5927495095780645,7.075495890564098,0.0013037862923496,0.01766852992324146,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ST8SIA3,-0.817749829077918,3.5312263985952046,0.00130723375209822,0.01770648763722359,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ANKRD45,-1.4479600845504483,0.8591618806624414,0.00130906315208495,0.01771819864705104,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AP005203.1,-1.2083274462047473,1.415713026408832,0.00130982305370433,0.01771819864705104,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TRAK1,-0.6109863333964942,6.153564397343522,0.0013100391507331,0.01771819864705104,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AP003100.2,0.5754823283516662,4.647438360825951,0.00131344312875341,0.01775546910676133,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL031772.1,-0.8335723330748307,3.2767119579208974,0.00131442994744242,0.01776004311818112,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
KIAA0040,1.9713220876669135,2.2654523780890226,0.00131730527286616,0.01778816528631366,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GARS,0.5318054246888712,4.975988407655582,0.0013178102587239,0.01778816528631366,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
CAMK4,-1.0817905520362634,4.792265505571806,0.00132430083121308,0.01786264871244841,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MTFP1,1.9173063811843427,0.92673953087079,0.00132463266886894,0.01786264871244841,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
C2orf72,-0.5915007403992439,5.002699977248312,0.00132775932636093,0.01788297911042672,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL355838.1,1.2144839290473175,2.2168669520623876,0.00132808890735473,0.01788297911042672,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC007344.1,-0.9190763266051298,3.8543338385443766,0.00132809914964977,0.01788297911042672,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PCDH15,-1.2398822195395631,7.9397136316446,0.00133223854972105,0.01792990142494361,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GPRC5A,1.6766189827475193,-0.42070102785656144,0.00133401178241235,0.01794494827932688,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AL136366.1,-0.7762037940849641,3.312062237958414,0.0013361588567549,0.01796500675935364,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC004158.1,-0.5353255916858132,8.038256856876014,0.00133800781440629,0.0179810392644552,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
TEX9,0.5781417183083509,4.74251638813325,0.00134038544064336,0.01800415715955884,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
MACROD2,-0.5826652162817063,7.676741873002187,0.00134381336298783,0.01804135313015242,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC092691.3,-0.8989223198963893,4.228402961113043,0.00134574381365201,0.01804959940377599,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
SALL1,-0.7688866530232457,4.834629265924454,0.00134665542133317,0.01804982744660017,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ADGRG5,-1.1696757937664322,0.9474825946961124,0.00134708073977109,0.01804982744660017,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC011246.1,-0.90897890557254,3.735911186586892,0.00134861797662403,0.01806118735538476,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
HEPH,0.7855046790443082,4.484209468268398,0.00134924745615295,0.01806118735538476,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL356113.1,-2.2281106327980256,-0.6799293646651184,0.00135044462176339,0.01806838168092611,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL109615.3,1.6917871145637535,1.894176533350236,0.00135211565671682,0.01807346216947684,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
