"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rnf207",0.445483619769562,3.68170753856733,1.45028527287194,0.17301208803281,0.99996385589442,-4.51818624170676
"Akap17b",0.258831436205072,5.57930491442836,1.45006565277162,0.173072147161066,0.99996385589442,-4.49375727629642
"D630003M21Rik",0.550295096648647,1.27991752330717,1.4498047927649,0.173143506980351,0.99996385589442,-4.5615155775646
"Xaf1",0.355168909216766,4.22137322909051,1.44963297432058,0.173190522522783,0.99996385589442,-4.50817017042453
"Themis2",-0.666589217402293,0.378398155179719,-1.44910870610693,0.173334047326495,0.99996385589442,-4.57102421801315
"Trim2",0.284200011118756,8.62322856199293,1.4490197463466,0.173358411110974,0.99996385589442,-4.49933754636366
"H2-Eb1",-0.963825158207963,0.62330700086527,-1.44877707294311,0.173424887806787,0.99996385589442,-4.56897817815766
"Lrrk1",-0.42670953268209,1.70705165483353,-1.44831305154804,0.173552059369127,0.99996385589442,-4.5556752025578
"Mrps36",0.308678635307698,5.14703837402698,1.4476943545875,0.173721744434894,0.99996385589442,-4.49726210541221
"Ina",0.294700086145358,8.05753686850787,1.44719427193228,0.173859000461212,0.99996385589442,-4.4978862387836
"Ogdh",0.213805581442108,6.74590659838059,1.4466048555141,0.174020893170424,0.99996385589442,-4.49413343318864
"1700012B09Rik",0.95914797291166,2.61033013661687,1.44652569391417,0.174042645869042,0.99996385589442,-4.54134010413967
"Poc1a",-0.274758050207891,3.8567385377477,-1.44644696020882,0.174064283263852,0.99996385589442,-4.51523268244934
"Mtch2",-0.204380514695158,7.29520967733861,-1.44629191444528,0.174106899181311,0.99996385589442,-4.49575007826783
"Arhgef33",0.392342557773768,1.39423148699366,1.44584889432676,0.174228716339136,0.99996385589442,-4.56027415499368
"Stoml3",1.05262799461357,0.30806717457382,1.4451738260738,0.174414478046815,0.99996385589442,-4.57194150987017
"Fadd",-0.448687128998562,1.77819998826785,-1.44498926992775,0.174465292313901,0.99996385589442,-4.5549293250529
"Slc38a6",0.287257602908564,3.32727448024635,1.44485264673918,0.1745029171364,0.99996385589442,-4.52607119564793
"Cdh8",0.294391332094718,6.69358868157007,1.44483749204967,0.174507091026209,0.99996385589442,-4.49453747997819
"Dand5",-0.234582900685989,4.2986302336692,-1.44470986319013,0.174542245784526,0.99996385589442,-4.50791007113505
"Fjx1",-0.314720567019338,6.3983135542867,-1.44438288408055,0.174632337881255,0.99996385589442,-4.4944213298175
"Nkd1",-0.467215300791925,4.0047881977081,-1.44429809157685,0.174655707046682,0.99996385589442,-4.51312743318374
"Oacyl",0.527350376858451,0.295905416664632,1.44350758263361,0.174873701571761,0.99996385589442,-4.57223618196337
"Pgf",-0.296378271549143,2.80502816211332,-1.44218032753238,0.175240227946312,0.99996385589442,-4.5369392914828
"Lrch3",-0.218741424131126,5.06320081939682,-1.4413429662957,0.175471801456935,0.99996385589442,-4.49972307277344
"Ccdc13",0.372034152384796,3.49411026094363,1.4403378905162,0.175750097316532,0.99996385589442,-4.52369746762117
"B430010I23Rik",0.528272686740827,0.325771518855932,1.43922411566262,0.176058925381252,0.99996385589442,-4.57225113848282
"Pim1",0.359653974202925,2.35099679846176,1.43907826236299,0.176099401504592,0.99996385589442,-4.54598700296373
"Gimap8",-0.393121036994462,2.06109070776946,-1.43882579084588,0.176169484057187,0.99996385589442,-4.55110750475866
"Htr3a",-0.748337046109904,1.02499828490592,-1.43831016603717,0.176312687283618,0.99996385589442,-4.56588234694001
"Ttc26",0.272577116276704,3.10745022386454,1.43742304853666,0.176559293780435,0.99996385589442,-4.53182693909737
"Gm10263",-0.585312542900942,3.24270854911821,-1.43706352907847,0.176659317959849,0.99996385589442,-4.52926929640346
"Lamp5",0.274209620262134,7.72398719739641,1.43675934214632,0.176743984997345,0.99996385589442,-4.49975257257107
"Dgkb",0.403950362255406,9.75828119267265,1.43602108512962,0.176949612722782,0.99996385589442,-4.50690603940357
"Mamstr",-0.436208616858904,1.6232529601758,-1.43596665445295,0.176964781343317,0.99996385589442,-4.558061830349
"Tardbp",-0.236698346236541,7.37321054161034,-1.43576744506477,0.177020305911453,0.99996385589442,-4.49897523778334
"C1qb",-0.510361816094237,6.94445856040868,-1.43499104799951,0.177236846921754,0.99996385589442,-4.49810304673386
"Enkd1",-0.254683692864242,3.34693451257174,-1.43439461109393,0.177403347558519,0.99996385589442,-4.52759432724751
"Pkdcc",0.345345502186779,1.8949633924666,1.4340680797478,0.17749455742779,0.99996385589442,-4.55419317337079
"Btg3",0.330227010157847,3.93644923684741,1.43359549943345,0.177626632989553,0.99996385589442,-4.51665644607543
"Get4",0.227529951481563,4.95051043678023,1.43335857600534,0.177692878875358,0.99996385589442,-4.50289129082544
"Scd3",0.49369563766379,2.68231111279244,1.43332699207065,0.177701711593139,0.99996385589442,-4.54088717972296
"Thsd1",-0.443449809772766,1.95541705008241,-1.43326108157225,0.177720145218375,0.99996385589442,-4.55349646310239
"Slc43a2",0.209104093965994,5.38744867929065,1.43097969179909,0.178359188933765,0.99996385589442,-4.50022619181699
"Cdh22",0.315260224560716,4.15104300859207,1.43051375599037,0.17848994034662,0.99996385589442,-4.51368361900674
"Rps21",-0.225517845959981,9.38158297149696,-1.43002746722858,0.178626489178884,0.99996385589442,-4.50709968492413
"Pxmp2",0.44835585081485,3.35564653778308,1.42751778012479,0.179332600879681,0.99996385589442,-4.52894201741765
"Nav2",0.238135086595299,4.86314289143913,1.42746177904112,0.179348383753127,0.99996385589442,-4.50532537432162
"Slc25a34",0.571309083449119,1.03242441251896,1.42713300117447,0.179441067279146,0.99996385589442,-4.56625192940513
"Gm10800",-1.21264228029962,4.06340796901866,-1.42692948893636,0.179498458189273,0.99996385589442,-4.52123367244443
