"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"27060",0.0378568862918671,1.33885951232404,0.470557243429889,0.64309361123995,0.778752151899473,-6.29686474422537,"Mixed_Effects"
"6716",0.0386609037094735,3.12370417344239,0.470529750919839,0.643112906686249,0.778752151899473,-6.66371961796488,"Mixed_Effects"
"19149",-0.186695328601185,3.62981988742786,-0.470352222775337,0.643237509947429,0.778866120457198,-6.67443867784996,"Mixed_Effects"
"552",-0.0254930552045181,4.71368763254723,-0.47008425145128,0.643425613840439,0.779029536360728,-6.86377683772616,"Mixed_Effects"
"404",0.0660933495601251,-1.34648773567956,0.470073085411203,0.643433452435871,0.779029536360728,-5.77459393373978,"Mixed_Effects"
"13057",-0.0794078674692687,-0.835646413194558,-0.469904963919434,0.643551479420784,0.77913551380001,-5.8724907690698,"Mixed_Effects"
"20620",0.0766270793514496,-0.794096920747201,0.469488829107922,0.643843661819588,0.779452317846316,-5.86890454424489,"Mixed_Effects"
"21155",-0.0672487984753474,0.470963575101593,-0.469326350883064,0.643957759406931,0.779553508414484,-6.11316332013901,"Mixed_Effects"
"26696",-0.0472928089174156,5.34221883940613,-0.469242508353757,0.644016639942029,0.779587848662887,-6.90392494072115,"Mixed_Effects"
"10338",0.0224676857629276,5.53138976517111,0.469097496228912,0.644118484052309,0.779674190981781,-6.913776000884,"Mixed_Effects"
"28616",0.049438177974192,0.153387701389281,0.469039000176686,0.644159568712345,0.779686982235726,-6.06332351554145,"Mixed_Effects"
"15486",0.0984396383466203,-2.21569918506303,0.46888054429775,0.644270865967071,0.779754303245532,-5.60564081798021,"Mixed_Effects"
"9992",0.0492573899766239,1.635550789961,0.468872911011823,0.64427622770023,0.779754303245532,-6.37237344840444,"Mixed_Effects"
"4663",-0.0996762464792264,-2.32773120719354,-0.468798086010482,0.644328786945593,0.779780975684381,-5.60048394506109,"Mixed_Effects"
"11675",-0.107806046694187,2.43139583482661,-0.468636730815908,0.644442134020367,0.779881208890032,-6.54777420644892,"Mixed_Effects"
