"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"KLF3",1.48974485074572,1.21104956006396,-0.258626123375796,0.215249776243058,-1.00180988889899,-0.256209878452917,1.34838632389283,0.111027070798724,-0.317109540715213
"KLF4",-1.505251506974,-1.29622823667508,0.704345068399535,0.0396352911811859,0,1.31740754891279,-1.62816789958942,0.866875015844228,1.18124875513579
"KLF5",-1.11504924811188,-2.1634307737671,2.81755822838046,-1.08996087017406,-0.169915285758583,-3.52110667130938,1.10393580816844,-1.62991673768273,-1.45518120058708
"KLF6",0.016224291555537,-1.47645460027873,1.50768189176362,0.599771618206613,0.759351279994529,0.752273564933931,0.117484477366987,-2.11381512871734,0.596891627060431
"KLF9",-0.520464490887297,-1.67166931920424,0.621165607030937,-1.56071269653348,-2.66879565537252,-2.0255581041911,0.732239261066225,-3.88715538147311,-1.4080466313911
"LEF1",0.11142371015619,0.0766518606825659,-0.506094771372232,-0.571516443684892,0.14845010372715,-0.671436376361198,0.279079323536374,1.7173724720837,-0.225337780323342
"LHX2",-0.077636393461024,0.00647354360252811,-0.396370434055424,-0.00750888918637271,-0.169720493438066,-0.160262142801999,-0.130635172985849,-0.0240641217620104,-0.112608902270163
"LYL1",-1.39321166910805,-0.158653140635635,-1.02031438516913,-1.15070716560297,-2.67256143248208,-0.778907017517704,-0.852172173696373,-1.67078073330387,-0.729827134276394
"MAF",0.53658128314591,-0.69459474818319,-1.05055179157478,-0.850856894559614,-1.09674370733134,-0.923101750510312,0.57014237138897,-0.466005658718664,-1.09868212871161
"MAFB",1.21086250964768,0.0178639921005799,0.638727843579724,1.6275665925964,0.086404023784009,0.609530532402376,1.02734705119439,-2.32451915750985,1.06178811498306
"MAFF",0.554038812700877,0.576130930057594,1.98059126065525,2.84417727146613,0.89218056861165,1.61707249825368,1.74807851288736,-1.80436340589669,2.18811420247486
"MAFG",1.3609926023918,-0.193667977599623,0.668866885948286,0.783835068921599,0.638871124167925,-0.0632001772841074,1.34201249738445,-0.803760715101797,0.754910964496512
"MAFK",2.43871038042722,0.324890921996591,0.646843852522378,1.37789328985143,-0.0597293663079604,0.446718215726498,2.32798928299936,-1.53052622163676,0.812324696775853
"MAX",0.0810046242202344,-1.09090091476236,0.175725212208758,-0.596114544535813,-1.45104403814229,-1.8458172742938,1.04590265475447,-0.529781231073437,-1.27987235345381
"MAZ",-0.266361330350837,-4.11991376106916,-0.993205627047448,-4.53572323155796,-4.10867338850778,-5.57384123862147,1.33123005913384,-1.83559713345062,-5.1112577757354
"MBD1",-0.013488957557142,2.15704747195173,0.523438052547144,1.70745254463324,2.22731595063841,3.02752281027966,-1.20094439152658,1.99614288305533,2.14201784220531
"MBD2",-2.31763484352792,-3.11232741372098,-0.313611418024386,-3.60920002566142,-2.51579463099515,-4.73100414686303,-0.807237725374228,-1.38603413139167,-3.86991058241275
"MEF2A",2.92132180696142,0.276642281453778,1.75543373067631,2.634855329894,0.927499214276782,1.7375523999898,2.50906055095063,-2.47331103135797,1.9506170076425
"MEF2B",0.549010984769959,0.975714775557764,0.0674347379476954,0.08915081018271,-0.817656289347548,-0.449308694805437,0.605212230543719,0.228992273923563,-0.242610186220853
"MEF2C",1.71043126636744,0.662397514236397,0.249647292016051,0.384998671067122,0.243665008387539,-0.14038759096281,1.51282627293489,0.223417449913518,0.111301788823475
"MEIS1",0.555074856781911,0.528665053173127,0.677264073135566,0.99807784192545,0.41383186321663,0.483474294724009,0.383272473198313,-0.771047349131365,0.613464998591867
"MEIS2",3.17337204154826,0.382534423083114,0.00596066956755301,0.0944518716828889,-0.307032726137968,-0.482826829118673,3.07492609585166,-0.16254071605038,-0.120575205595358
"MITF",1.48631119973899,0.742708917439039,-1.10523458477174,-0.426009231463262,-0.995571129637823,0.312303726385249,1.17932180834212,0.183340407339222,-0.254676961649988
"MNT",0.280798697266456,4.09877757783518,0.129790534038094,1.55904478147217,0.605161137093323,1.14889338799774,-0.809190643462005,4.50716209630625,0.638985052599001
"MXI1",-0.812421139417904,0.592847580446975,-1.14976391285418,-0.0165396613802445,1.10316892367059,1.42500161971919,-1.73742397817442,1.50204998186746,0.445559955067295
"MYB",-1.75036497359405,-0.803199873823624,-1.20698357960208,-0.589633681900875,0.102648452581688,-0.16850844990523,-1.84980111837554,0.240086601070195,-0.321707132382931
"MYBL2",-0.343544846818865,-0.319127935585797,0.512137327899907,1.63886391812972,1.88180520313597,1.63294854917417,-0.532047915762013,-1.17111246700137,1.83463963663472
"MYC",1.45103680184271,3.86460788695942,1.27393102574223,1.80940936002651,-0.72592966699263,0.563288547387576,1.67493034730298,0.498451758840986,1.1657513196019
"MYCN",-0.502257073116809,-0.271644725169285,0.832638308267821,0.0593007011215084,0.591810828682546,-0.0171632624860171,-0.155084579461492,0.236789773045727,0.304653542487427
"MYOD1",1.54371157071624,-1.54134028840247,-0.559812769953837,-0.928595811360863,-1.18478475828255,-1.43885844236226,2.21311288089971,-1.38369958163968,-0.941997139345775
"NANOG",2.82176347093064,0.277015681292379,-0.619421555547862,0.262230609384797,-0.546489785718389,-0.192381674267755,2.51275981535751,-0.654623953405815,-0.164873687765791
"NCOA1",1.71804057498245,0.471881670231679,0.726973222858316,1.25505364098574,0.620496275608267,1.07359361001547,1.45744305977483,-0.610094885475559,1.06853639470197
"NCOA2",2.51661071057325,0.389188028659224,0.0675629652004393,0.551186465926856,-0.368223934283458,-0.134461856416076,2.31063419090148,-0.742833707524452,0.191863917406545
"NCOA3",1.16728167174978,0.423286191276399,0.0434278508418323,0.923193496276598,0.382256347383323,0.912698086702337,0.705862788118894,-0.607785552883643,0.763564164710095
"NEUROD1",-0.758157063473225,-2.22860004746525,-0.580264394115551,-2.0208692896548,-2.2877575070561,-3.3123710833778,0.33047734736293,-1.6848110364132,-2.35664652785435
"NFATC1",-0.0580225500936778,-0.778919127534469,1.36458136087664,2.05360773738496,1.99218162964135,2.11331096602575,-0.330547925068857,-1.66632484346577,2.09424639274103
"NFE2",-0.618069543899181,-0.967496919592848,0.158955154675123,0.663109070385879,-1.23912591820891,-0.262438606412376,-0.313194945580095,-2.99280802561102,-0.114437504533535
"NFE2L1",0.414756198244065,-0.259091258811922,0.407496952833704,0.713013736905592,0.53762386213999,0.26613833645772,0.335057367229024,-1.42628065687385,0.72736794380759
"NFE2L2",0.750247457588155,-0.358509768410972,0.278647207611313,0.827298244282607,0.913507772239321,0.358470025531177,0.692710403182787,0.0372780266171947,0.725894710615062
"NFIC",-1.31535076061661,0.0337664206880488,1.14231798427194,0.0142166544601629,1.48368142580687,0.298087363414346,-0.938576686352722,0.772720039657695,0.388959456557131
"NFKB1",-4.39964192605472,-1.85752261761253,6.21051152986052,3.85214442852128,6.13382404859898,4.66758916701675,-4.25099368313027,-2.15085314535717,5.41336067730958
"NFKB2",0.017012549474093,2.4580353220163,-2.24392296510331,-1.20617500825456,-1.41052952137367,-0.33529843355991,0.138164407233309,2.0271847290893,-0.877613886375086
"NFYA",0.372668026688468,1.39289143088076,0.119732901410819,0.190908556194066,-0.135472583211837,-0.287035107564589,0.450303437803444,1.06044894006028,0.00492139688687659
"NFYB",1.79010745807463,1.46355100390435,-0.436353302541237,-0.403612116708562,-1.63615791072279,-1.16284716262845,1.92667214716178,0.0922150269524464,-1.03167698922795
"NR1H2",-0.509301461763353,-1.62736566901859,0.645946432274529,0.276730315114145,-0.56404193974119,-0.739425817640308,0.0728837125841174,-2.47448353054211,0.216278221094739
"NR1H3",-1.08882246206289,-0.625047942534234,1.81738363472392,0.136971451286088,-0.227015869602615,-0.555963393523793,-0.592455428257969,-0.972088149041004,0.0114645055244721
"NR2C2",1.28573849521708,2.05584499386919,0.612536111344559,0.477801901411857,0.126518629232015,0.179655135267508,1.40794722226359,1.46713101719647,0.362340221274082
"NR2F1",1.29569017751449,-3.81597453910315,-1.61160058583333,-4.0354792762659,-4.30796442266613,-5.9066230648179,3.03583919593043,-0.667216127395377,-4.16738081004073
"NR2F6",-1.97321210914379,0.296967617871343,-0.100193014328493,1.26065472093392,2.22588301330881,2.78795937549389,-3.14421753057237,0.884650695020796,1.87187117843755
"NR4A1",0.405949849309089,-0.69656099831473,0.00590219599169087,0.475385751452688,0.733619144171377,0.691648084670009,0.222577695869146,-1.28346420535905,0.664559032860173
"NR5A2",0.074735085220196,-1.56443865696243,0.547272279819139,-0.110703069351462,-0.195993985366674,-0.418269277990016,0.388886865670583,-1.72935411400743,-0.00297644053775277
