gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
KCNQ1,0.0,6.434951313863185e-42,1.20579974650778e-41,0.5338114005133582,0.5338114005133582,False
UBC,0.0,4.509231885105676e-141,1.5030772950352255e-140,0.6129179648687613,0.6129179648687613,False
RGS6,0.0,9.668105778826196e-35,1.7001358344946418e-34,0.18633305109553544,0.18633305109553544,False
AF165147.1,0.0,0.0,0.0,1.2011769758491067,1.2011769758491067,False
ITCH,0.0,1.1537049124873268e-20,1.7640747897359737e-20,3.151150994478194,3.151150994478194,False
SH3BGRL,0.0,3.0101172289145274e-25,4.844609274004068e-25,0.8018384851502488,0.8018384851502488,False
IGFBP7,0.0,0.05602803564393599,0.0608559402359913,0.18972704518295297,0.18972704518295297,False
AC016042.1,0.0,0.2264230806253201,0.2385074585238625,0.19674885722134652,0.19674885722134652,False
AC096719.1,0.0,0.0,0.0,0.44232290692503357,0.44232290692503357,False
CHSY3,0.0,8.582595469293777e-69,1.937380467109205e-68,0.6806366961721341,0.6806366961721341,False
SLC14A1,0.0,6.684092505792925e-76,1.570264488439998e-75,0.22044899355717684,0.22044899355717684,False
SESTD1,0.0,0.471150782704597,0.485055713148178,2.2684857750334753,2.2684857750334753,False
BTBD3,0.0,1.377894806678256e-252,6.776531836122571e-252,2.103250604025389,2.103250604025389,False
GALNT17,0.0,0.25000782033708613,0.26261325665660307,0.1615614614410172,0.1615614614410172,False
MYT1,0.0,0.0008561638418272177,0.0009936137429329413,0.250074416507602,0.250074416507602,False
PFKP,0.0,4.195829398938981e-36,7.505955990946298e-36,0.2575200331127732,0.2575200331127732,False
PIGC,0.0,6.286248913189847e-226,2.8660709330652803e-225,1.3818398522922875,1.3818398522922875,False
TTN,0.0,2.314890884391225e-07,2.940166237584113e-07,0.33228350557452463,0.33228350557452463,False
SLC20A2,0.0,3.4382898505445577e-28,5.717776913322436e-28,1.826738796094257,1.826738796094257,False
MARCKSL1,0.0,0.0,0.0,1.2523967652333978,1.2523967652333978,False
SGK3,0.0,9.231735774432053e-11,1.2480940659439458e-10,3.5816607713043873,3.5816607713043873,False
DOCK11,0.0,3.856045238569054e-09,5.080428509313642e-09,0.5404793604811206,0.5404793604811206,False
CYBB,0.0,2.5415569485053768e-129,8.059905756359545e-129,0.2698616457682608,0.2698616457682608,False
BCAR3,0.0,1.2185074107242978e-46,2.3706369858449374e-46,0.4597079964380485,0.4597079964380485,False
ACTB,0.0,0.0,0.0,1.5011942779498628,1.5011942779498628,False
ARHGAP31,0.0,1.950270423666909e-102,5.397427371771888e-102,0.47240974946326486,0.47240974946326486,False
DENND5A,0.0,0.7288547498785495,0.739703738036417,3.052762131277026,3.052762131277026,False
AC099792.1,0.0,9.291176069466705e-29,1.5571803468379953e-28,0.3405127947510517,0.3405127947510517,False
B3GNT5,0.0,7.579723488388737e-89,1.941859134514621e-88,0.3129194650621613,0.3129194650621613,False
CD55,0.0,0.0,0.0,1.3596435580447985,1.3596435580447985,False
CSRP1,0.0,3.984693777558119e-67,8.887792812397292e-67,1.6433318043883665,1.6433318043883665,False
RNF149,0.0,9.927220596972322e-171,3.713424163455981e-170,0.9490980356197626,0.9490980356197626,False
GNAL,0.0,0.4913599641190338,0.5048218809442129,0.2968290501458722,0.2968290501458722,False
SCN3A,0.0,0.04161697609722888,0.0454830339860425,0.30542868938645856,0.30542868938645856,False
DDX17,0.0,3.926808008297448e-290,2.107410380123854e-289,5.706743931793388,5.706743931793388,False
TMSB10,0.0,3.2789413780796914e-77,7.763870666329181e-77,0.20571971267392888,0.20571971267392888,False
MANBA,0.0,3.751046767814549e-69,8.49935068235925e-69,0.7526922917800468,0.7526922917800468,False
BMPR1A,0.0,8.747495162564167e-17,1.2770065930750609e-16,1.3393835533613534,1.3393835533613534,False
