gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
AL359764.3,0.00039881754738596515,0.00039881754738596515,0.10959350861226226,0.9127317590242363,0.9999963503102831,False
FH,0.000975948754611453,0.000975948754611453,0.2681869164099896,0.788555445425456,0.9999963503102831,False
KMO,-0.0008111721788749713,0.0008111721788749713,0.22290695520858664,0.8236079231011983,0.9999963503102831,False
GCSAML,9.925740897624034e-05,9.925740897624034e-05,0.02727554937531628,0.9782399583835799,0.9999963503102831,False
AL390860.1,0.00014449725249540335,0.00014449725249540335,0.03970728216348413,0.9683264959303437,0.9999963503102831,False
OR6F1,8.409380474100993e-06,8.409380474100993e-06,0.002310864999428583,0.9981561981358698,0.9999963503102831,False
OR14A16,-1.0278390596941947e-05,1.0278390596941947e-05,0.0028244617013203003,0.9977464086123069,0.9999963503102831,False
OR2AK2,-8.18048553646856e-05,8.18048553646856e-05,0.02247965562121612,0.9820653403620092,0.9999963503102831,False
OR2L5,-0.0002614884398610585,0.0002614884398610585,0.07185600476647538,0.942716502606693,0.9999963503102831,False
OR2L2,-0.0004180564963650486,0.0004180564963650486,0.11488029685528192,0.9085400025165546,0.9999963503102831,False
OR2L3,-0.00014858697772044476,0.00014858697772044476,0.040831122725691386,0.9674305276935815,0.9999963503102831,False
AC026341.1,0.004154719335667674,0.004154719335667674,1.1417006906528389,0.25357845364868403,0.9999963503102831,False
OR2M4,0.000202993374626833,0.000202993374626833,0.055781788680597286,0.955515642879736,0.9999963503102831,False
OR2T12,-5.598556863439688e-05,5.598556863439688e-05,0.015384616194829183,0.9877253364738632,0.9999963503102831,False
SH3BP5L,-0.00025727754918198324,0.00025727754918198324,0.07069886840944364,0.9436374214640149,0.9999963503102831,False
ZNF672,0.00019329347133335622,0.00019329347133335622,0.053116293037039325,0.9576392498119055,0.9999963503102831,False
ZNF692,0.0001408024160830962,0.0001408024160830962,0.03869195550890942,0.9691359871822534,0.9999963503102831,False
PGBD2,0.0001732077517771755,0.0001732077517771755,0.04759681553763669,0.9620375699878712,0.9999963503102831,False
FAM110C,0.0007195519978403142,0.0007195519978403142,0.19773008632432632,0.8432562489455346,0.9999963503102831,False
ACP1,0.0008596964090109741,0.0008596964090109741,0.23624122464625222,0.813245492028734,0.9999963503102831,False
LINC01874,-3.873549263344533e-06,3.873549263344533e-06,0.0010644362499464847,0.9991507029105879,0.9999963503102831,False
TMEM18,5.4957158334016304e-05,5.4957158334016304e-05,0.015102013049981539,0.9879507949640856,0.9999963503102831,False
NLRP3,0.0015509564735888236,0.0015509564735888236,0.4261967979082012,0.6699644505766869,0.9999963503102831,False
AC104335.2,-9.987273526669827e-05,9.987273526669827e-05,0.027444638643214992,0.978105095154538,0.9999963503102831,False
ZNF496,9.866449996006247e-05,9.866449996006247e-05,0.0271126202870736,0.9783699089281666,0.9999963503102831,False
AL390728.5,2.099498736490558e-05,2.099498736490558e-05,0.005769340751607783,0.9953967576250071,0.9999963503102831,False
OPN3,0.000133966319742774,0.000133966319742774,0.03681342286144216,0.9706337714080251,0.9999963503102831,False
WDR64,0.0002539085819360172,0.0002539085819360172,0.06977308933250677,0.9443742665640944,0.9999963503102831,False
EXO1,0.0003434464766788802,0.0003434464766788802,0.09437775405436577,0.9248090866106302,0.9999963503102831,False
MAP1LC3C,-2.4095647829761328e-05,2.4095647829761328e-05,0.0066213901701605935,0.9947169336162824,0.9999963503102831,False
PLD5,-0.0029548658031125865,0.0029548658031125865,0.8119856133815003,0.41679988667416934,0.9999963503102831,False
AL591686.2,-0.00022379661368234123,0.00022379661368234123,0.061498437743649575,0.950962258553133,0.9999963503102831,False
AL606534.1,8.693214587975114e-05,8.693214587975114e-05,0.02388861508376604,0.9809414555399403,0.9999963503102831,False
ZBTB18,-0.0008599877265972629,0.0008599877265972629,0.23632127758427138,0.8131833773475265,0.9999963503102831,False
AL590483.1,-0.00014522689858690238,0.00014522689858690238,0.039907786067428994,0.9681666436655896,0.9999963503102831,False
TRIM67,-0.0003709375168828417,0.0003709375168828417,0.10193218482377511,0.918810503210554,0.9999963503102831,False
AL645465.1,0.0027947498607506617,0.0027947498607506617,0.7679863760780827,0.4424952789433283,0.9999963503102831,False
BX323046.2,1.949748533077373e-05,1.949748533077373e-05,0.0053578330254552995,0.9957250882025093,0.9999963503102831,False
EFCAB2,-0.0043165386510710625,0.0043165386510710625,1.1861680082333486,0.23555595746951452,0.9999963503102831,False
KIF26B,0.0002419132109382614,0.0002419132109382614,0.0664768081047463,0.9469982213101713,0.9999963503102831,False
LINC01743,-2.9889171124549116e-05,2.9889171124549116e-05,0.008213427805576361,0.9934467064440413,0.9999963503102831,False
TFB2M,-0.0002573363852652701,0.0002573363852652701,0.07071503633596211,0.9436245535317438,0.9999963503102831,False
SCCPDH,-0.0010098531492394281,0.0010098531492394281,0.2775037119948603,0.7813933559448378,0.9999963503102831,False
ZNF670,-0.0006412088681487774,0.0006412088681487774,0.1762016994345393,0.8601354857209134,0.9999963503102831,False
ZNF124,7.090471270266389e-05,7.090471270266389e-05,0.01948433887415967,0.984454730440707,0.9999963503102831,False
AL390728.6,-0.0006667554182025324,0.0006667554182025324,0.18322179188453444,0.8546239963385274,0.9999963503102831,False
CATSPERE,-0.0009614358186923981,0.0009614358186923981,0.2641988181478665,0.7916267217053496,0.9999963503102831,False
FLVCR1-DT,-0.0001393716492652965,0.0001393716492652965,0.03829878636026882,0.9694494584221411,0.9999963503102831,False
FAM89A,6.158273377594641e-05,6.158273377594641e-05,0.016922695374557494,0.986498287067946,0.9999963503102831,False
AL118511.1,0.00023731976412065748,0.00023731976412065748,0.06521454681091747,0.9480031791042938,0.9999963503102831,False
LINC02817,0.00015848602313587554,0.00015848602313587554,0.04355134184869622,0.9652620384444468,0.9999963503102831,False
DUSP10,0.0013817041322218332,0.0013817041322218332,0.3796869137448105,0.7041778353298158,0.9999963503102831,False
LINC01705,-0.00023760200748598658,0.00023760200748598658,0.06529210618836136,0.9479414272840707,0.9999963503102831,False
AL356108.1,-0.0011494433439348487,0.0011494433439348487,0.31586255378808453,0.7521068356360767,0.9999963503102831,False
