"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"TSPOAP1",-0.137301789397393,4.93810001664386,-1.37938950349603,0.191249288727919,0.76391635984614,-5.61028327737205,"F","gse225158"
"AC103858.3",-0.379176883479638,-1.26942854445265,-1.37933054997283,0.19126702121107,0.76391635984614,-4.77723612111895,"F","gse225158"
"AL158163.2",-0.412419375027038,-1.13144413801835,-1.37924015934303,0.191294212212591,0.76391635984614,-4.78857572383646,"F","gse225158"
"CROCC",0.0949842455961502,5.49486545987035,1.37881983970874,0.19142069315366,0.764028081081784,-5.65004708049842,"F","gse225158"
"TRIM39",0.14715149680469,2.63751574898319,1.37880601020322,0.191424855844242,0.764028081081784,-5.35907761436202,"F","gse225158"
"MROH1",-0.14606336040859,4.88825224199373,-1.37842624559258,0.191539194380397,0.764028081081784,-5.60934867565006,"F","gse225158"
"AC069209.2",-0.292275392132457,2.76111071815823,-1.37836424023138,0.191557868131301,0.764028081081784,-5.3513435270271,"F","gse225158"
"AP003718.1",-0.524574525848093,1.25084792516582,-1.3783615714787,0.191558671895814,0.764028081081784,-5.09541041615787,"F","gse225158"
"AL352979.2",-0.884896342327136,-2.92164509536675,-1.37830313952274,0.191576270900118,0.764028081081784,-4.64728984211867,"F","gse225158"
"AC005740.3",-0.404574565085403,1.51845326715983,-1.37829142960141,0.191579797948088,0.764028081081784,-5.13489600854476,"F","gse225158"
"AC079052.1",-0.533142950140243,-0.406389111374855,-1.37824188165982,0.191594722462986,0.764028081081784,-4.85576020648136,"F","gse225158"
"TRMT5",0.15237205702893,2.52678094566292,1.37798720939005,0.191671448324158,0.764028081081784,-5.33917675763763,"F","gse225158"
"GYG2",-0.491373314191149,1.86929283282977,-1.37781836004994,0.191722332003103,0.764028081081784,-5.19793871827277,"F","gse225158"
"AC012325.1",0.390259680827108,-1.73953593773154,1.37774141423775,0.191745523735671,0.764028081081784,-4.74510858228821,"F","gse225158"
"LINC01280",-0.466854381921282,0.304975218978324,-1.37770931265505,0.191755199945842,0.764028081081784,-5.05976350282615,"F","gse225158"
"AL356488.3",0.211550764430568,0.838262179002031,1.37769790346784,0.191758639053576,0.764028081081784,-5.0622816027581,"F","gse225158"
"MS4A14",-0.429329610868769,-1.20187056453631,-1.37750601933046,0.191816486909938,0.764028081081784,-4.78770063149556,"F","gse225158"
"AL122035.1",-0.154650237518572,4.59044589914224,-1.37740635587636,0.191846538402294,0.764028081081784,-5.58817125307099,"F","gse225158"
"ASPDH",0.213778610155219,0.635795457674303,1.37734444408504,0.191865208598095,0.764028081081784,-5.03092834299029,"F","gse225158"
"RAD51AP1",0.160068628545351,1.52502657952428,1.37732102678397,0.191872270737955,0.764028081081784,-5.17395916725038,"F","gse225158"
"MECP2",0.0908062015786973,6.19383048165816,1.37725285664158,0.191892830562558,0.764028081081784,-5.67423819650287,"F","gse225158"
"AL022476.1",-0.432675963873637,-0.383247311333664,-1.37704568971063,0.191955322355231,0.764028081081784,-4.86716957575151,"F","gse225158"
"ICMT",0.1965558571522,3.30324647535925,1.37699619918382,0.191970253624262,0.764028081081784,-5.46185603118214,"F","gse225158"
"PTPN14",0.214574456271938,3.51455732084608,1.37697609706292,0.191976318697809,0.764028081081784,-5.47661568845124,"F","gse225158"
"OSBPL9",-0.107599796073133,7.52939415633005,-1.37686086231591,0.192011089575764,0.764028081081784,-5.67392338486227,"F","gse225158"
"FAM234A",-0.129935500832533,4.20702748261719,-1.37685599833251,0.192012557345807,0.764028081081784,-5.55348055736093,"F","gse225158"
"CTTN",-0.105620410726199,6.19241518471983,-1.37673529701924,0.192048983489496,0.764053583266902,-5.66696991612088,"F","gse225158"
"VPS37D",0.223876880673221,0.534697083920351,1.37645459742906,0.192133717099231,0.764079441077682,-5.02370881148597,"F","gse225158"
"AC083806.2",-0.61450447655822,-1.62484675478266,-1.37640799704429,0.192147787139459,0.764079441077682,-4.74266614773218,"F","gse225158"
"NME2",0.181816810061795,3.29736251551574,1.37636586680916,0.192160508238511,0.764079441077682,-5.45792443459004,"F","gse225158"
"AC011442.1",-0.34943742290422,-0.187508405911149,-1.37629503717222,0.192181896598463,0.764079441077682,-4.90529174361868,"F","gse225158"
"ASIP",-0.269757932124714,1.73842355947736,-1.37621663723615,0.192205573238799,0.764079441077682,-5.18599459308314,"F","gse225158"
"MFSD6",0.100904015546244,6.47357658659492,1.37587650065424,0.192308321674505,0.764177807174827,-5.6808566182333,"F","gse225158"
"AP001631.2",0.131509773539646,3.6777731149557,1.37575761577878,0.19234424506648,0.764177807174827,-5.50763982818059,"F","gse225158"
"CCDC107",0.2273239089681,2.07233451321328,1.37554250204927,0.19240925992325,0.764177807174827,-5.26868785683541,"F","gse225158"
"WFDC2",-0.211023401794942,2.13338698850966,-1.37554095750542,0.192409726803529,0.764177807174827,-5.26525553515742,"F","gse225158"
"FCGR3A",0.32990102532354,1.724024430926,1.37548029628961,0.192428064038818,0.764177807174827,-5.23529138966865,"F","gse225158"
"AC145285.3",0.294858054990641,-0.289364313369508,1.37538361654987,0.192457292259482,0.764177807174827,-4.90323023784851,"F","gse225158"
"RSPO3",-0.754191631660099,-1.52782496574536,-1.3753407852437,0.19247024218813,0.764177807174827,-4.74391920834892,"F","gse225158"
"VCAN-AS1",-0.455050770107185,3.47144322673957,-1.37522550405966,0.192505100701053,0.764177807174827,-5.43733205825137,"F","gse225158"
"SHD",-0.342430150284252,-0.540793505355726,-1.37518394124953,0.192517669661031,0.764177807174827,-4.86088356502088,"F","gse225158"
"ZNF777",0.13150504817499,3.15023965188969,1.37502316858547,0.192566295087617,0.764177807174827,-5.43648547145911,"F","gse225158"
"FPR3",-0.472513815039427,0.92373558574431,-1.37501777809891,0.192567925606402,0.764177807174827,-5.0595283536124,"F","gse225158"
"AC096992.3",-0.286923592798837,-1.39934017059856,-1.37494288541625,0.192590580381336,0.764177807174827,-4.76954856234322,"F","gse225158"
"EMX2",0.431589669050476,1.69453374825009,1.37466247184919,0.192675423978472,0.764392833335287,-5.20872485808349,"F","gse225158"
"AL359649.1",0.325035890319186,0.334005177848916,1.37456529783358,0.192704832698693,0.764392833335287,-5.00043547096232,"F","gse225158"
"OTUD6B-AS1",0.126399290540156,4.33005548336746,1.37413393772879,0.19283542398761,0.764791661293337,-5.57748482785542,"F","gse225158"
"TARBP2",0.172639321233744,1.06692348837241,1.37385132687724,0.192921021924755,0.764923850109584,-5.1030896828028,"F","gse225158"
"FP325318.1",-0.323247668482368,1.69306005692881,-1.37382546476624,0.192928856670996,0.764923850109584,-5.17731536990405,"F","gse225158"
"CDC42BPG",-0.505464113335231,-2.43864910321506,-1.37363871831783,0.192985437971978,0.764932341393538,-4.67658315645517,"F","gse225158"
"PNMA8C",-0.184469461204695,1.28225630358546,-1.37362002848543,0.192991101454754,0.764932341393538,-5.12770474873991,"F","gse225158"
"AL121820.2",0.334310247886299,1.28496995540872,1.37306001009815,0.193160864324671,0.764990275634834,-5.14007566073621,"F","gse225158"
"AC233296.1",-0.150733393698215,6.73885343375607,-1.37285705716409,0.193222417379248,0.764990275634834,-5.68428353015956,"F","gse225158"
"SCGB1A1",-0.428213570363322,-1.10572833764517,-1.37284062357537,0.193227402184244,0.764990275634834,-4.79358657121124,"F","gse225158"
"FREM3",-0.263155816113785,2.20562011667113,-1.37270284133453,0.193269199868612,0.764990275634834,-5.27125534430892,"F","gse225158"
"AC104435.2",-0.247993686149375,-0.526485605947952,-1.3725819827273,0.193305869710909,0.764990275634834,-4.8668871702669,"F","gse225158"
"SLC27A6",-0.296819111792584,2.58317713289055,-1.37248837763577,0.193334274464388,0.764990275634834,-5.32777721641179,"F","gse225158"
"AC092801.1",-0.44896481866496,0.0661571684376419,-1.3723962226046,0.193362242544296,0.764990275634834,-4.93641137554096,"F","gse225158"
"AL024495.1",-0.194211797277333,1.16984787920676,-1.37235691217622,0.193374173856569,0.764990275634834,-5.10694584313076,"F","gse225158"
"FAM133B",0.0822296696483806,6.33340021443927,1.37224870525232,0.193407019427673,0.764990275634834,-5.68157950764905,"F","gse225158"
