"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"DDX3X",-0.59612933523146,5.65670590935371,-5.05368366696098,6.40449213946277e-05,0.0442238836949012,1.77570047441303,"gse225158"
"LINC02280",1.40950121619467,0.351136765743532,5.02643456259797,6.81349394797752e-05,0.0458099886518099,1.74747125109447,"gse225158"
"CHRDL1",1.28079250468727,3.07988983956921,4.97568955297238,7.64732673903558e-05,0.0473038114288698,1.68232876159125,"gse225158"
"DNAH11",-1.08637776959136,3.94773816754103,-4.96777846202003,7.78636409842367e-05,0.0473038114288698,1.63226844127468,"gse225158"
"PLXNA2",0.891510361503587,6.3906745308212,4.96005710775868,7.924543009315e-05,0.0473038114288698,1.57249217001367,"gse225158"
"LINC02731",0.759984534009439,2.42795204828762,4.95967005835998,7.93153471155333e-05,0.0473038114288698,1.66419780942049,"gse225158"
"NKAIN3",1.4046487535627,7.9782111200243,4.95801940326299,7.96142272277349e-05,0.0473038114288698,1.5804535316492,"gse225158"
"LINC02821",-1.33925261479187,4.96284536788377,-4.94427311863495,8.21480813945319e-05,0.0477000302624749,1.5488102204538,"gse225158"
"SYNPO2",1.07299052260097,4.32121732155131,4.91098832220312,8.8628077251072e-05,0.0499493996178724,1.49102425462275,"gse225158"
"MOXD1",1.11625283616266,3.56011482073887,4.90459000482783,8.99319888223465e-05,0.0499493996178724,1.50694956588824,"gse225158"
"AC146944.4",-1.58730243181554,-0.254388921867026,-4.8301184244109,0.000106620211082186,0.0568440699595233,1.17175071131632,"gse225158"
"SLC8A3",0.958930826116712,5.6978663318673,4.82940107082977,0.000106795387610361,0.0568440699595233,1.28545585656803,"gse225158"
"MMP28",0.925461937520339,3.1202418596557,4.80608246091758,0.000112651496295579,0.0583736479371246,1.30692762962021,"gse225158"
"LINC02774",0.763877769859426,4.34964807281864,4.79997412751183,0.000114238615869749,0.0583736479371246,1.23816828809854,"gse225158"
"GAREM2",0.98201304488749,2.34738781373064,4.7897061168933,0.000116957774921063,0.0585912586560441,1.30259962447367,"gse225158"
"ADPRHL1",0.843123212467497,2.47151633306625,4.74394897182774,0.00012989529288978,0.0626125528786317,1.19755328632609,"gse225158"
"MRPS22",-0.744379961497773,4.38919993766164,-4.74123083117098,0.00013070795590909,0.0626125528786317,1.11096961413234,"gse225158"
"TLE1",0.792089191288655,5.6789630754781,4.72109923181552,0.000136889323831768,0.0626125528786317,1.04217656143182,"gse225158"
