"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"MOB1B",0.1686700792163,5.1974021780483,1.31301655075402,0.205098005700401,0.70061421745702,-5.0246918395124,"gse225158"
"LY6E",-0.505207506562479,1.77303970475612,-1.31294718273646,0.205120916781268,0.70061421745702,-4.71558883100079,"gse225158"
"AP000282.1",0.262121553338829,5.03032133145181,1.31293217978944,0.205125872265182,0.70061421745702,-5.01540954487925,"gse225158"
"RIPK2",0.191629539249702,3.86225394072932,1.31286889822172,0.205146775247406,0.70061421745702,-4.94127524435021,"gse225158"
"EIF3C",0.396052174815274,0.236209939600947,1.31267716864102,0.205210117027173,0.700682651080373,-4.59671838189998,"gse225158"
"SNPH",-0.223057570821537,3.17915245963787,-1.31264222389705,0.205221663393261,0.700682651080373,-4.87318014844392,"gse225158"
"LINC00672",-0.250588503867192,2.65931742755858,-1.31238049602284,0.205308159189056,0.700731264542202,-4.81972611117715,"gse225158"
"RTL5",-0.317262787717564,1.40580955312326,-1.31231289227703,0.205330505524273,0.700731264542202,-4.68446397630119,"gse225158"
"AC006116.4",-0.800792433980812,-1.74757891282171,-1.312220855882,0.205360931115656,0.700731264542202,-4.51525869817052,"gse225158"
"GTPBP10",0.119315628101385,5.03813341003779,1.31218011761455,0.2053743995923,0.700731264542202,-5.01919612681403,"gse225158"
"HNRNPA3",0.107545487934805,6.33424634348503,1.31209936587351,0.205401098974224,0.700731264542202,-5.04744239540421,"gse225158"
"AC005291.2",-0.484373740717114,-1.32075817432457,-1.312038876861,0.205421100569035,0.700731264542202,-4.53226328719854,"gse225158"
"ZBTB20",0.213350040551688,10.4754203219417,1.31201834409097,0.205427890384011,0.700731264542202,-4.97581775609019,"gse225158"
"AC009055.1",-0.313800887007639,0.392454468624407,-1.31179388473462,0.205502126533308,0.700827717174124,-4.60084148127871,"gse225158"
"AL121917.1",0.383292268649796,0.502076162557046,1.31176697434875,0.205511028105544,0.700827717174124,-4.6122115613862,"gse225158"
"NGDN",0.13829672597589,3.44292721475036,1.31161970073763,0.205559749486729,0.700854368802374,-4.90478130727976,"gse225158"
"S1PR5",0.318416423282798,2.47850199126336,1.31157751545838,0.20557370698677,0.700854368802374,-4.7900113147649,"gse225158"
"FCHO1",0.217336166197544,5.5064343066694,1.31104745296303,0.205749147947589,0.70131874849878,-5.03440055868177,"gse225158"
"MKLN1",0.202868138605267,8.64486408216533,1.31085520413864,0.205812807854754,0.70131874849878,-5.02134090013468,"gse225158"
"PLK3",0.21711018483287,1.38694454537975,1.31084514699693,0.205816138531117,0.70131874849878,-4.67405760603411,"gse225158"
"COL12A1",0.335700063759228,2.57601731688777,1.31083433863102,0.205819718041561,0.70131874849878,-4.8058275206075,"gse225158"
"ZNF844",0.230956501474093,3.11947434809894,1.31043279375034,0.205952736196705,0.701678418067692,-4.86689982718387,"gse225158"
"FAM161A",-0.16363041358024,4.02920169653549,-1.30969639879223,0.206196854325347,0.7023646501668,-4.95616750220038,"gse225158"
"LINC01796",-0.373343781020774,-0.198653128438823,-1.30963234844803,0.20621809803519,0.7023646501668,-4.57436836439296,"gse225158"
"DERL1",0.130740021747499,3.99036075220053,1.30954002099184,0.206248723498891,0.7023646501668,-4.95575766785221,"gse225158"
"NFASC",0.229686775098666,8.73078551325056,1.30942702831828,0.206286208577365,0.7023646501668,-5.02126237898071,"gse225158"
"GTF2E2",-0.145225401242591,5.3026150723457,-1.30930985351413,0.206325086721521,0.7023646501668,-5.03020359475391,"gse225158"
"IL17RC",0.31947315709802,1.7055371398664,1.30928368071076,0.206333771542261,0.7023646501668,-4.71237939984146,"gse225158"
"AC020550.2",-0.880099250358922,-2.534164951987,-1.30912265486308,0.20638721044914,0.7023646501668,-4.51471091289512,"gse225158"
"ZDBF2",-0.253958419167239,5.99527880397028,-1.3090976354314,0.206395514508541,0.7023646501668,-5.04577774676733,"gse225158"
"AC114498.1",0.836506361368992,-2.46029315015271,1.3090475128085,0.206412151217083,0.7023646501668,-4.51606278170206,"gse225158"
"CD24",1.06106626593323,-2.41663913333128,1.30899203506713,0.206430566625559,0.7023646501668,-4.51576054799662,"gse225158"
"AC084357.2",-0.400982291720803,1.62820497820145,-1.30889081085142,0.20646417054902,0.7023646501668,-4.70225426131095,"gse225158"
"DEPTOR",0.262674737849959,6.39632473528151,1.30883094709712,0.206484045849264,0.7023646501668,-5.0486552029842,"gse225158"
"RPS28",-0.451636239702972,4.68036372992269,-1.30872153297559,0.206520376196788,0.702394713984523,-5.01317371065598,"gse225158"
"HSD17B8",0.539123428768283,-0.980463373466375,1.30827036123478,0.206670238290098,0.702725534963228,-4.54128701137163,"gse225158"
"GRB10",-0.175202264567706,7.38000642894057,-1.30826308680443,0.206672655278629,0.702725534963228,-5.04481193903172,"gse225158"
"LINC00648",0.703531199534045,-0.550226656289995,1.3078082472715,0.206823823496367,0.702971498967758,-4.56037836246711,"gse225158"
"ERMN",0.348539605922553,6.30258792883478,1.30761893754391,0.206886767124669,0.702971498967758,-5.05224541556008,"gse225158"
"HEXD",-0.122143126848763,4.28487589203145,-1.3075733172169,0.20690193768495,0.702971498967758,-4.98199609000253,"gse225158"
"AC084036.1",-0.513250211389431,-0.450918991616379,-1.30751183305053,0.206922384980134,0.702971498967758,-4.56363660733541,"gse225158"
"AC107029.1",0.763871609241766,-2.71748535252653,1.30732448163878,0.20698470071707,0.702971498967758,-4.51508621940316,"gse225158"
"LINC02585",0.259240192423316,0.264334916588747,1.30732157784153,0.206985666677167,0.702971498967758,-4.59686508904755,"gse225158"
"EGFL7",-0.694112483865548,0.876576028869398,-1.30731444934365,0.206988038016306,0.702971498967758,-4.6322472495351,"gse225158"
"TNNT1",0.5213646567239,-0.482787978351636,1.30707358551512,0.207068175403266,0.702971498967758,-4.56281157973965,"gse225158"
"CBL",0.142135768656661,5.62802568552511,1.30700546779099,0.207090843150953,0.702971498967758,-5.04171620507346,"gse225158"
"AC068985.1",-0.584073086498293,-1.18283756950767,-1.30695796417137,0.207106652231674,0.702971498967758,-4.54000276515058,"gse225158"
"DNAJC17",0.12324813641617,4.70384582144915,1.30691522107741,0.207120877831624,0.702971498967758,-5.00752895372437,"gse225158"
"AL161851.2",-0.789207380503534,-0.627132718683798,-1.30691516959012,0.207120894967895,0.702971498967758,-4.54376069256208,"gse225158"
"SIN3A",0.143381844945583,5.06853225704194,1.30690952851068,0.207122772468709,0.702971498967758,-5.02485417432294,"gse225158"
"NR1I2",-0.302408716394384,-0.0790509465401184,-1.30688721656206,0.207130198607745,0.702971498967758,-4.58485083313939,"gse225158"
"LINC01289",-0.317469330822683,1.77382335251661,-1.30661368842125,0.207221254619314,0.703135317507742,-4.72453016233707,"gse225158"
"AC076968.2",-0.354740533278199,3.88562305003783,-1.30655754796242,0.207239947354673,0.703135317507742,-4.95037978774432,"gse225158"
"CACNA1C-AS2",-0.868878337644076,-1.20211473612795,-1.3064155650864,0.207287228406262,0.703135317507742,-4.52658798960719,"gse225158"
