"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"AC116666.1",0.0265927262591258,-2.14227437423414,0.0397691641685093,0.969232228910417,0.984091891669053,-5.67590802230725,"M","gse225158"
"CDC34",-0.00351279758820349,2.50203060852205,-0.039708447384304,0.969279175272393,0.984099957768913,-6.44819688991932,"M","gse225158"
"SDK2",0.00379081820184369,3.15393091025568,0.0396494420806595,0.969324798435231,0.984106679842182,-6.57101170081855,"M","gse225158"
"PSMC1",0.00288184062539457,4.20759142437683,0.0394123712180157,0.969508103884768,0.984246066164074,-6.72200245322393,"M","gse225158"
"NMRAL1",0.00243739172739885,4.06925089869677,0.0393709817808265,0.969540106789317,0.984246066164074,-6.70613187502931,"M","gse225158"
"AP001208.1",-0.00792476916983362,-1.50716730533628,-0.0392719719702243,0.969616662827682,0.984284182349054,-5.77982565421,"M","gse225158"
"AC079148.3",0.0086450563029697,0.924796304714384,0.0391394812867687,0.969719107358306,0.98434857452085,-6.16883577472172,"M","gse225158"
"TNPO2",0.00278565955255511,4.72728943808291,0.0386321071007651,0.970111425044952,0.984641921554128,-6.76482470735311,"M","gse225158"
"TCTA",-0.00304699857519033,3.32077978837436,-0.0386223004184986,0.970119007965653,0.984641921554128,-6.59586680414557,"M","gse225158"
"OFD1",0.00227534237854096,5.78513079785022,0.0386143374439959,0.970125165259814,0.984641921554128,-6.80453526643554,"M","gse225158"
"CCL26",0.0090553103011797,-2.45300289274795,0.0385163749641121,0.97020091398769,0.984673820844526,-5.61518264738886,"M","gse225158"
"SDR42E2",0.00531707630930244,0.570978944375825,0.0384240921930505,0.970272271218175,0.984673820844526,-6.10971905319854,"M","gse225158"
"AL035467.2",-0.0121167540436031,-1.77908482225277,-0.0383603984460809,0.970321522282259,0.984673820844526,-5.72859226050418,"M","gse225158"
"SPIN1",0.00220327009745643,7.25197844524902,0.0383172052697979,0.970354921397393,0.984673820844526,-6.78282123762931,"M","gse225158"
"MALT1",0.00222132093146202,5.32731994195849,0.0381904758519474,0.970452915252777,0.984673820844526,-6.7963811832147,"M","gse225158"
"KISS1R",0.0121852217707905,-1.9395141793272,0.0381808973269781,0.970460321894037,0.984673820844526,-5.70204003847564,"M","gse225158"
"GRK7",-0.00420022510480991,0.817891833398694,-0.0381564258375982,0.970479244606641,0.984673820844526,-6.2101024100281,"M","gse225158"
"KLHL31",-0.0058446146682515,0.61700560752406,-0.03815473516923,0.970480551925908,0.984673820844526,-6.11487541555673,"M","gse225158"
"C8orf48",0.00733441434891835,-0.220932500555037,0.0381194744875717,0.970507817477113,0.984673820844526,-5.98532055191454,"M","gse225158"
"FNDC4",0.00645873437085217,1.00594555768529,0.037988668763245,0.970608964212367,0.9846964670843,-6.17749329968335,"M","gse225158"
"AC104411.1",0.00567581352297513,-0.130798992120245,0.0379602515715132,0.970630938143155,0.9846964670843,-6.00008274038635,"M","gse225158"
"AC242988.2",-0.00803971673099632,0.0134522817092517,-0.0379392019661806,0.970647215017466,0.9846964670843,-6.02241939974692,"M","gse225158"
"AL133419.1",-0.00736738315320059,-2.28823034395903,-0.0378576449374156,0.970710280162091,0.984720853497764,-5.66144619885006,"M","gse225158"
"RNASE10",-0.00996843950319329,0.418613617419855,-0.0374446201447241,0.971029660864727,0.984955307761192,-6.09013279944616,"M","gse225158"
"GFPT1",0.00301464337690216,5.37662497039527,0.037430038682534,0.971040936409711,0.984955307761192,-6.79710798716183,"M","gse225158"
"CTC1",-0.00285562472365035,3.04952937241822,-0.03740731717988,0.971058506494429,0.984955307761192,-6.55000820753099,"M","gse225158"
"LINC00433",-0.00656405253281279,-0.728641004720604,-0.0373101194005084,0.971133667787227,0.984991948611461,-5.90727935356746,"M","gse225158"
"RAB23",-0.00352577171685761,2.65499845383814,-0.0371869491290492,0.971228913579858,0.985039039433974,-6.47992220374135,"M","gse225158"
"ZNF19",-0.00256516732235206,3.6102295039791,-0.037149109363513,0.971258174622615,0.985039039433974,-6.64348111908357,"M","gse225158"
"ACOX3",0.00195989149928128,4.79984917452579,0.0369670667249375,0.971398946684476,0.985127461160022,-6.77057170728315,"M","gse225158"
"VTI1A",-0.00271657103218741,8.16284662981008,-0.0368954566614144,0.971454322444048,0.985127461160022,-6.75396872684585,"M","gse225158"
"GPAT4",-0.00232265878150211,4.11802082940671,-0.0368848977004072,0.971462487657882,0.985127461160022,-6.70969491464299,"M","gse225158"
"AC104117.3",-0.00352620927748824,2.62973504710123,-0.0366361207066385,0.971654867213917,0.985282948581021,-6.4749415386478,"M","gse225158"
"EPHB2",0.00402589217346107,4.89681021231584,0.0363129610366656,0.971904769921455,0.985496751111483,-6.77129537027206,"M","gse225158"
"AL009178.3",-0.00809945127253957,-1.76732717451892,-0.0361322566239385,0.972044511945132,0.985551252560429,-5.7335854823556,"M","gse225158"
"DFFA",0.00340969056040604,4.3539580193846,0.0360899635694883,0.972077218084859,0.985551252560429,-6.73234926294306,"M","gse225158"
"LINC02354",-0.0142664768189337,-1.7795062395133,-0.0360877876419452,0.972078900778514,0.985551252560429,-5.73391024655783,"M","gse225158"
"AC068491.2",-0.0067809605968985,-0.609619845770024,-0.0360414199459792,0.972114757994767,0.985551252560429,-5.9248822251242,"M","gse225158"
"ZNF436-AS1",0.0066189668146706,2.57383764607479,0.0359224285196866,0.972206777136008,0.985604941970177,-6.46024089061902,"M","gse225158"
"AC008897.2",0.00840532111272843,-2.15153425241018,0.0357852139200167,0.972312889275495,0.985629916838152,-5.67090262497489,"M","gse225158"
"AC010601.1",-0.00628360502886835,-0.286749559811418,-0.0357462459795841,0.972343024451948,0.985629916838152,-5.98019290142248,"M","gse225158"
"AC104170.2",0.0127064656234925,-0.951060143647484,0.0356740876806819,0.97239882693705,0.985629916838152,-5.87851141037042,"M","gse225158"
"LINC01249",-0.0120872849174208,-2.47111249323937,-0.0356365297914055,0.97242787180359,0.985629916838152,-5.61877554941809,"M","gse225158"
"DHRS4",0.00273418423673083,2.38135752310594,0.0356022837315076,0.97245435555139,0.985629916838152,-6.424909695372,"M","gse225158"
"C1GALT1C1L",0.0113739556348093,-2.12764939053312,0.0355788873249011,0.972472448880884,0.985629916838152,-5.67168612612063,"M","gse225158"
"FOXD4L5",0.00515109001053043,-0.831164996531357,0.0355369878685649,0.972504851363452,0.985629916838152,-5.89025724645006,"M","gse225158"
