Gene	Mock_1	Mock_2	Mock_3	Morphine_1	Morphine_2	Morphine_3
Fam180a	3	1	2	2	1	0
Fam181a	2	3	1	3	0	0
Fam183b	7	13	4	5	12	7
Fam184a	223	138	160	183	221	237
Fam184b	23	25	28	35	12	33
Fam185a	28	38	56	46	35	41
Fam186a	84	95	107	142	122	137
Fam186b	13	7	8	3	1	4
Fam187a	1	2	1	2	0	1
Fam187b	0	6	6	2	6	7
Fam188a	384	329	399	434	492	562
Fam188b	42	27	44	24	35	66
Fam189a1	18	13	22	29	26	54
Fam189a2	307	155	216	338	420	504
Fam189b	225	77	150	133	99	179
Fam192a	595	366	565	533	490	638
Fam193a	2896	1951	2538	2359	2309	3191
Fam193b	1313	844	1197	978	969	1327
Fam194a	38	24	43	35	35	54
Fam195a	10	9	7	13	18	10
Fam195b	673	391	680	534	610	752
Fam196a	319	277	276	150	139	239
Fam196b	23	25	22	31	43	42
Fam198a	49	46	44	43	29	47
Fam198b	41	43	40	43	50	85
Fam199x	422	271	341	325	294	400
Fam19a1	11	19	11	18	11	14
Fam19a2	5	5	9	7	8	5
Fam19a3	13	10	2	9	7	17
Fam19a4	0	17	3	7	11	6
Fam19a5	475	339	417	692	782	955
Fam203a	16	11	7	13	16	18
Fam207a	47	43	52	52	46	64
Fam209	2	1	0	4	2	2
Fam20a	138	96	78	153	150	142
Fam20b	452	280	403	410	343	478
Fam20c	63	49	53	53	34	103
Fam21	2852	2023	2291	3138	3210	3941
Fam210a	1448	963	1200	1916	2044	2478
Fam210b	127	72	113	98	109	174
Fam211a	31	14	28	14	11	15
Fam211b	249	221	224	202	274	305
Fam212a	20	14	20	16	19	15
Fam212b	317	226	212	106	97	136
Fam213a	1301	810	1111	1025	1208	1410
Fam213b	146	109	175	206	269	290
Fam214a	1445	905	1229	3505	3974	4620
Fam214b	468	269	359	486	499	638
Fam216a	65	40	70	45	42	63
Fam216b	3	13	27	10	17	12
Fam217a	13	3	6	3	13	19
Fam217b	61	56	58	74	67	69
Fam219a	692	439	645	590	587	716
Fam219b	196	130	149	187	191	238
Fam220a	202	95	162	140	136	157
Fam221a	5	8	7	3	15	3
Fam221b	12	23	12	19	10	11
Fam222a	684	498	656	353	340	437
Fam222b	639	402	567	478	549	623
Fam227a	46	48	37	32	50	61
Fam227b	20	7	7	9	5	19
Fam228a	188	146	190	174	140	190
Fam228b	224	171	165	241	236	294
Fam229a	0	0	0	2	1	0
Fam229b	68	65	70	78	87	60
Fam24a	5	1	2	8	2	3
Fam25c	3	0	0	1	0	0
Fam26d	13	18	13	9	5	21
Fam26e	3	7	2	0	4	0
Fam26f	5	6	1	1	2	3
Fam32a	1242	799	963	1011	1060	1272
Fam35a	86	64	78	74	47	107
Fam3a	156	115	145	175	141	179
Fam3b	4	6	1	5	6	4
Fam3c	244	132	226	198	164	235
Fam43a	37	23	31	52	91	68
Fam43b	0	4	0	0	0	5
Fam45a	634	373	580	512	494	639
Fam46a	423	280	325	191	236	259
Fam46b	2	3	0	1	3	1
Fam46c	45	56	50	36	32	29
Fam46d	4	7	6	8	0	7
Fam47c	7	5	0	3	0	0
Fam47e	3	11	7	4	6	2
Fam49a	74	57	72	377	445	536
Fam49b	437	260	408	318	305	497
Fam50a	218	128	175	123	161	195
Fam50b	0	3	2	0	0	0
Fam53a	442	293	413	411	317	429
Fam53b	3409	2476	3010	1826	1719	2238
Fam53c	691	449	624	503	601	671
Fam57a	1551	982	1302	1319	1291	1571
Fam57b	12	19	13	11	18	24
Fam58b	42	17	30	33	22	25
Fam60a	14	5	14	12	14	24
Fam63a	949	674	891	814	871	1068
Fam63b	1096	596	844	803	759	976
Fam64a	6	5	0	5	10	3
Fam65a	165	149	197	147	132	193
Fam65b	62	60	52	31	35	75
Fam65c	4	10	2	5	7	8
Fam69a	287	158	191	218	199	273
Fam69b	11	5	5	4	5	2
Fam69c	3	12	2	18	11	19
Fam71a	4	13	4	4	5	6
Fam71b	13	15	6	11	25	28
Fam71d	17	10	11	11	12	11
Fam71e1	12	9	14	26	12	21
Fam71e2	14	13	9	4	0	6
Fam71f1	1	12	2	13	7	18
Fam71f2	11	7	8	4	4	7
Fam72a	19	21	24	14	7	16
Fam73a	297	165	256	246	280	300
Fam73b	195	130	169	149	154	189
Fam76a	501	324	484	442	430	519
Fam76b	605	355	487	565	553	615
Fam78a	15	12	17	10	6	9
Fam78b	102	80	76	65	56	74
Fam81a	35	42	44	32	31	44
Fam83a	3	8	2	7	4	6
Fam83b	5	19	12	5	10	12
Fam83c	9	5	3	4	7	3
Fam83d	397	218	317	896	768	1110
Fam83e	6	9	20	8	3	9
Fam83f	6	13	5	13	15	17
Fam83g	6	8	4	12	5	18
Fam83h	12	6	6	7	7	9
Fam84a	10	15	8	36	20	46
Fam84b	45	34	37	16	14	41
Fam86	102	50	57	53	51	46
Fam89a	10	6	10	12	14	17
Fam89b	1	0	0	1	1	0
Fam92a	239	175	185	196	209	261
Fam92b	2	2	1	1	1	13
Fam96a	405	242	413	623	602	750
Fam96b	206	123	223	225	196	288
Fam98a	767	442	658	443	509	607
Fam98b	228	164	151	193	158	241
Fam98c	14	14	13	18	13	8
Fan1	471	304	434	506	592	649
Fanca	207	153	189	303	345	430
Fancb	23	14	17	17	23	27
Fancc	526	385	533	314	311	411
Fancd2	49	41	50	42	42	59
Fancd2os	3	10	0	0	0	4
Fance	200	112	210	182	186	243
Fancf	156	103	141	116	105	129
Fancg	197	160	174	155	154	191
Fanci	32	23	16	16	16	18
Fancl	75	39	64	42	49	69
Fancm	303	249	241	328	247	332
Fank1	11	9	4	6	7	4
Fap	25	37	22	25	27	20
Far1	2125	1349	1745	1600	1525	1982
Far2	315	250	303	342	342	392
Farp1	320	183	261	336	309	389
Farp2	453	367	423	442	407	539
